Heating Degree Days - (Celsius), Year, Model, Statistics, ISO3
-19.636, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-18.823, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-52.948, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-46.129, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-38.8, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-32.526, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-24.06, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-23.307, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-15.481, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-34.139, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-37.512, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-39.819, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-93.459, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-17.792, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-36.527, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-47.144, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-38.448, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-24.623, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-14.969, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-0.1693, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-17.762, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-24.881, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-7.9038, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-29.696, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-60.008, 2080-2099, bnu_esm, Jan Anomaly, NPL
-34.923, 2080-2099, bnu_esm, Feb Anomaly, NPL
-89.142, 2080-2099, bnu_esm, Mar Anomaly, NPL
-57.293, 2080-2099, bnu_esm, Apr Anomaly, NPL
-31.793, 2080-2099, bnu_esm, May Anomaly, NPL
-30.672, 2080-2099, bnu_esm, Jun Anomaly, NPL
-16.915, 2080-2099, bnu_esm, Jul Anomaly, NPL
