Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
-0.1472, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.0628, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-0.2832, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.03878, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.02278, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.13108, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
0.07089, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.157, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-0.1064, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.0411, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.16324, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-0.4564, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
1.12676, 2060-2079, bnu_esm, Jan Anomaly, NPL
0.77461, 2060-2079, bnu_esm, Feb Anomaly, NPL
-0.2511, 2060-2079, bnu_esm, Mar Anomaly, NPL
0.01106, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.108, 2060-2079, bnu_esm, May Anomaly, NPL
-0.2051, 2060-2079, bnu_esm, Jun Anomaly, NPL
0.07259, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.0717, 2060-2079, bnu_esm, Aug Anomaly, NPL
0.25241, 2060-2079, bnu_esm, Sep Anomaly, NPL
0.76368, 2060-2079, bnu_esm, Oct Anomaly, NPL
0.11281, 2060-2079, bnu_esm, Nov Anomaly, NPL
0.42201, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.1873, 2060-2079, canesm2, Jan Anomaly, NPL
-0.1003, 2060-2079, canesm2, Feb Anomaly, NPL
-0.035, 2060-2079, canesm2, Mar Anomaly, NPL
-0.4397, 2060-2079, canesm2, Apr Anomaly, NPL
-0.2638, 2060-2079, canesm2, May Anomaly, NPL
-0.17, 2060-2079, canesm2, Jun Anomaly, NPL
-0.1044, 2060-2079, canesm2, Jul Anomaly, NPL
0.06647, 2060-2079, canesm2, Aug Anomaly, NPL
0.14449, 2060-2079, canesm2, Sep Anomaly, NPL
0.14416, 2060-2079, canesm2, Oct Anomaly, NPL
0.36468, 2060-2079, canesm2, Nov Anomaly, NPL
0.24836, 2060-2079, canesm2, Dec Anomaly, NPL
0.38539, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
0.37119, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
0.54018, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
0.69181, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
-0.846, 2060-2079, cnrm_cm5, May Anomaly, NPL
-1.0279, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
-0.1416, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
-0.4075, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
0.32219, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
-0.5483, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
1.11369, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
0.84057, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
1.08105, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-0.0131, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.1005, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
0.78825, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-2.3258, 2060-2079, gfdl_cm3, May Anomaly, NPL
-5.8593, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-5.1509, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-7.2038, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-8.0041, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-4.9059, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.0668, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
2.51759, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
1.08537, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
1.52955, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
1.3812, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
0.73086, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
0.26901, 2060-2079, gfdl_esm2g, May Anomaly, NPL
1.13478, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
0.59846, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-0.895, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
2.13089, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
1.93765, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
3.96518, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.68848, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-1.0463, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.5722, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
1.48572, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-1.0702, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
0.80553, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-0.0181, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-0.5567, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
-0.2714, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-0.1207, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
0.42593, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-0.2899, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
0.07119, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
1.90382, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
0.5149, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
1.04802, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-1.1018, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-0.0788, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.1463, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
0.11386, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
0.58426, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
