Number of Days without Noticeable Wind - (Days), Year, Model, Statistics, ISO3
0.71587, 2040-2059, access1_0, Jan Anomaly, NPL
0.05896, 2040-2059, access1_0, Feb Anomaly, NPL
-1.5683, 2040-2059, access1_0, Mar Anomaly, NPL
-0.743, 2040-2059, access1_0, Apr Anomaly, NPL
-0.1028, 2040-2059, access1_0, May Anomaly, NPL
0.03043, 2040-2059, access1_0, Jun Anomaly, NPL
-0.1019, 2040-2059, access1_0, Jul Anomaly, NPL
-0.0353, 2040-2059, access1_0, Aug Anomaly, NPL
0.15851, 2040-2059, access1_0, Sep Anomaly, NPL
0.0861, 2040-2059, access1_0, Oct Anomaly, NPL
0.19497, 2040-2059, access1_0, Nov Anomaly, NPL
-0.7564, 2040-2059, access1_0, Dec Anomaly, NPL
0.43213, 2040-2059, access1_3, Jan Anomaly, NPL
0.27586, 2040-2059, access1_3, Feb Anomaly, NPL
0.06389, 2040-2059, access1_3, Mar Anomaly, NPL
0.02001, 2040-2059, access1_3, Apr Anomaly, NPL
0.08842, 2040-2059, access1_3, May Anomaly, NPL
0.14266, 2040-2059, access1_3, Jun Anomaly, NPL
-0.0897, 2040-2059, access1_3, Jul Anomaly, NPL
0.00701, 2040-2059, access1_3, Aug Anomaly, NPL
-0.1203, 2040-2059, access1_3, Sep Anomaly, NPL
0.51255, 2040-2059, access1_3, Oct Anomaly, NPL
0.79316, 2040-2059, access1_3, Nov Anomaly, NPL
0.11162, 2040-2059, access1_3, Dec Anomaly, NPL
0.22956, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.24389, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0541, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.4069, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.2431, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.3061, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.0241, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
0.40176, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.0113, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.7345, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.09707, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
0.19165, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.4383, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.0394, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.1927, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.0289, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.14934, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.13887, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.01588, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.27309, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.26256, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
