Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
-0.0263, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0759, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.019, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0088, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.11874, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.13174, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
0.32299, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
0.16907, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
0.05747, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
0.13939, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
0.1634, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.00483, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.05083, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
0.01423, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.017, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.03151, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.0034, 2080-2099, bcc_csm1_1, May Anomaly, NPL
0.13987, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
0.05328, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.45582, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
0.07115, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
0.01494, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.0181, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.0317, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.21076, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.0528, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.0676, 2080-2099, ccsm4, Mar Anomaly, NPL
0.00323, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.0261, 2080-2099, ccsm4, May Anomaly, NPL
