Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
-9.0E-4, 2020-2039, access1_0, Feb Anomaly, NPL
0.01252, 2020-2039, access1_0, Mar Anomaly, NPL
0.00859, 2020-2039, access1_0, Apr Anomaly, NPL
0.00823, 2020-2039, access1_0, May Anomaly, NPL
-0.0554, 2020-2039, access1_0, Jun Anomaly, NPL
0.55942, 2020-2039, access1_0, Jul Anomaly, NPL
0.07466, 2020-2039, access1_0, Aug Anomaly, NPL
0.03255, 2020-2039, access1_0, Sep Anomaly, NPL
0.00805, 2020-2039, access1_0, Oct Anomaly, NPL
-4.0E-4, 2020-2039, access1_0, Nov Anomaly, NPL
0.01029, 2020-2039, access1_3, Jan Anomaly, NPL
0.01742, 2020-2039, access1_3, Feb Anomaly, NPL
0.03185, 2020-2039, access1_3, Mar Anomaly, NPL
0.00889, 2020-2039, access1_3, Apr Anomaly, NPL
-0.0056, 2020-2039, access1_3, May Anomaly, NPL
0.02374, 2020-2039, access1_3, Jun Anomaly, NPL
0.15393, 2020-2039, access1_3, Jul Anomaly, NPL
0.18183, 2020-2039, access1_3, Aug Anomaly, NPL
-0.0045, 2020-2039, access1_3, Sep Anomaly, NPL
1.7E-4, 2020-2039, access1_3, Oct Anomaly, NPL
0.00581, 2020-2039, access1_3, Nov Anomaly, NPL
0.0028, 2020-2039, access1_3, Dec Anomaly, NPL
-0.0237, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0885, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0337, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0018, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0124, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.17323, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.062, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.125, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.07602, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.02609, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.0773, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.053, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
0.01105, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.0081, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.0019, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.0166, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.05643, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-0.0325, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.26352, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.19357, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.01354, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.02034, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.02996, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.00874, 2020-2039, bnu_esm, Feb Anomaly, NPL
0.03904, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.51264, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.30591, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.00589, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.0145, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.01256, 2020-2039, bnu_esm, Dec Anomaly, NPL
-0.0126, 2020-2039, canesm2, Jan Anomaly, NPL
-0.0074, 2020-2039, canesm2, Feb Anomaly, NPL
-0.0187, 2020-2039, canesm2, Mar Anomaly, NPL
-0.0164, 2020-2039, canesm2, May Anomaly, NPL
-0.0301, 2020-2039, canesm2, Jun Anomaly, NPL
0.197, 2020-2039, canesm2, Jul Anomaly, NPL
0.05168, 2020-2039, canesm2, Aug Anomaly, NPL
0.04524, 2020-2039, canesm2, Sep Anomaly, NPL
0.07157, 2020-2039, canesm2, Oct Anomaly, NPL
-0.0042, 2020-2039, canesm2, Nov Anomaly, NPL
0.01496, 2020-2039, canesm2, Dec Anomaly, NPL
0.15318, 2020-2039, ccsm4, Jan Anomaly, NPL
0.03631, 2020-2039, ccsm4, Feb Anomaly, NPL
0.06997, 2020-2039, ccsm4, Mar Anomaly, NPL
0.00584, 2020-2039, ccsm4, Apr Anomaly, NPL
0.18856, 2020-2039, ccsm4, May Anomaly, NPL
0.33888, 2020-2039, ccsm4, Jun Anomaly, NPL
-0.2223, 2020-2039, ccsm4, Jul Anomaly, NPL
0.96778, 2020-2039, ccsm4, Aug Anomaly, NPL
0.33245, 2020-2039, ccsm4, Sep Anomaly, NPL
-0.0018, 2020-2039, ccsm4, Oct Anomaly, NPL
0.09025, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.2609, 2020-2039, ccsm4, Dec Anomaly, NPL
0.0801, 2020-2039, cesm1_bgc, Jan Anomaly, NPL
0.0312, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
-0.0256, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
-0.0435, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
0.02095, 2020-2039, cesm1_bgc, May Anomaly, NPL
-0.3081, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
1.2208, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
0.64509, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
-0.0868, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
0.09624, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
-0.0049, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
-0.1518, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
-0.1082, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
0.04628, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.01997, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.0401, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-0.0012, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.173, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
0.67918, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.79509, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-0.3662, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.05931, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.00943, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
0.01788, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-0.0064, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
-0.0135, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
-0.1063, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
-6.0E-4, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
0.01203, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.03964, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.1004, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
0.10015, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
0.02282, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-0.0196, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
-0.0221, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-0.0175, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
-0.0239, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
0.00945, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
-0.0077, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-0.0039, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.04672, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.00219, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.00945, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-3.0E-4, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
0.03166, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.00782, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
0.09561, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.26, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.1853, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
0.07069, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-0.0753, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
0.02949, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
-0.0045, 2020-2039, gfdl_esm2g, May Anomaly, NPL
0.13847, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
0.87609, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.84404, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-0.2212, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
0.02522, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
0.01241, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
-0.0381, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
0.00661, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.04555, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
0.00589, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
0.01224, 2020-2039, gfdl_esm2m, May Anomaly, NPL
-0.254, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.44174, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.04726, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
0.26994, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
-0.0816, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-0.094, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
0.01619, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
-0.005, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
-0.0017, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
0.01128, 2020-2039, hadgem2_ao, May Anomaly, NPL
-0.0161, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
0.1993, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
0.01547, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
0.03471, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
-0.0273, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
0.00581, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
-0.0328, 2020-2039, hadgem2_cc, Feb Anomaly, NPL
0.00635, 2020-2039, hadgem2_cc, Mar Anomaly, NPL
0.00539, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
3.9E-4, 2020-2039, hadgem2_cc, May Anomaly, NPL
0.19326, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
0.2887, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
-0.0385, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
0.01547, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
-0.0049, 2020-2039, hadgem2_cc, Oct Anomaly, NPL
-0.0235, 2020-2039, hadgem2_cc, Nov Anomaly, NPL
4.2E-4, 2020-2039, hadgem2_cc, Dec Anomaly, NPL
