Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
3.9E-4, 2040-2059, access1_0, Jan Anomaly, NPL
-9.0E-4, 2040-2059, access1_0, Feb Anomaly, NPL
-9.0E-4, 2040-2059, access1_0, Mar Anomaly, NPL
0.00143, 2040-2059, access1_0, Apr Anomaly, NPL
0.00306, 2040-2059, access1_0, May Anomaly, NPL
0.05582, 2040-2059, access1_0, Jun Anomaly, NPL
0.48951, 2040-2059, access1_0, Jul Anomaly, NPL
0.1417, 2040-2059, access1_0, Aug Anomaly, NPL
0.09043, 2040-2059, access1_0, Sep Anomaly, NPL
8.7E-4, 2040-2059, access1_0, Oct Anomaly, NPL
-4.0E-4, 2040-2059, access1_0, Nov Anomaly, NPL
0.00632, 2040-2059, access1_0, Dec Anomaly, NPL
7.7E-4, 2040-2059, access1_3, Jan Anomaly, NPL
-0.0101, 2040-2059, access1_3, Feb Anomaly, NPL
0.02337, 2040-2059, access1_3, Mar Anomaly, NPL
0.00164, 2040-2059, access1_3, Apr Anomaly, NPL
0.00282, 2040-2059, access1_3, May Anomaly, NPL
0.10245, 2040-2059, access1_3, Jun Anomaly, NPL
0.76573, 2040-2059, access1_3, Jul Anomaly, NPL
0.58493, 2040-2059, access1_3, Aug Anomaly, NPL
0.04835, 2040-2059, access1_3, Sep Anomaly, NPL
0.00284, 2040-2059, access1_3, Nov Anomaly, NPL
0.00447, 2040-2059, access1_3, Dec Anomaly, NPL
-0.0906, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.045, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
0.01551, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.009, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0498, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.08526, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
0.31082, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.0989, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
0.10651, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.03431, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0768, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0124, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.00695, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.01097, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.0161, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
0.02415, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.02873, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.22397, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
0.43766, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
0.34972, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.1038, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.08634, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.07984, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.00347, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.01947, 2040-2059, bnu_esm, Jan Anomaly, NPL
-0.0072, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.63919, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.09526, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.10016, 2040-2059, bnu_esm, Sep Anomaly, NPL
