Number of Days with Rainfall > 50mm - (Days), Year, Model, Statistics, ISO3
9.1E-4, 2020-2039, access1_0, Jan Anomaly, NPL
0.01571, 2020-2039, access1_0, Feb Anomaly, NPL
0.00844, 2020-2039, access1_0, Mar Anomaly, NPL
1.7E-4, 2020-2039, access1_0, Apr Anomaly, NPL
0.02883, 2020-2039, access1_0, May Anomaly, NPL
-0.0011, 2020-2039, access1_0, Jun Anomaly, NPL
0.31286, 2020-2039, access1_0, Jul Anomaly, NPL
0.12922, 2020-2039, access1_0, Aug Anomaly, NPL
0.02484, 2020-2039, access1_0, Sep Anomaly, NPL
0.01187, 2020-2039, access1_0, Oct Anomaly, NPL
-4.0E-4, 2020-2039, access1_0, Nov Anomaly, NPL
0.03175, 2020-2039, access1_0, Dec Anomaly, NPL
7.7E-4, 2020-2039, access1_3, Jan Anomaly, NPL
0.00809, 2020-2039, access1_3, Feb Anomaly, NPL
-0.0025, 2020-2039, access1_3, Mar Anomaly, NPL
1.7E-4, 2020-2039, access1_3, Apr Anomaly, NPL
-0.0055, 2020-2039, access1_3, May Anomaly, NPL
0.02147, 2020-2039, access1_3, Jun Anomaly, NPL
0.26031, 2020-2039, access1_3, Jul Anomaly, NPL
0.23081, 2020-2039, access1_3, Aug Anomaly, NPL
0.01322, 2020-2039, access1_3, Sep Anomaly, NPL
1.9E-4, 2020-2039, access1_3, Oct Anomaly, NPL
0.007, 2020-2039, access1_3, Nov Anomaly, NPL
4.2E-4, 2020-2039, access1_3, Dec Anomaly, NPL
-0.0442, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0156, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0219, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.0147, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0431, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.11434, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.07487, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.09115, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.08453, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.05985, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.0483, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.03, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0039, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.02728, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
-0.0194, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.0034, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.12539, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.14909, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.14691, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
0.12405, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.0341, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.0132, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.02696, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.02155, 2020-2039, bnu_esm, Jan Anomaly, NPL
-0.0095, 2020-2039, bnu_esm, Jun Anomaly, NPL
0.58369, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.16029, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.00537, 2020-2039, bnu_esm, Sep Anomaly, NPL
-0.005, 2020-2039, bnu_esm, Oct Anomaly, NPL
-0.0209, 2020-2039, canesm2, Jan Anomaly, NPL
-0.0381, 2020-2039, canesm2, Feb Anomaly, NPL
0.00486, 2020-2039, canesm2, Mar Anomaly, NPL
0.01569, 2020-2039, canesm2, Apr Anomaly, NPL
0.00534, 2020-2039, canesm2, May Anomaly, NPL
-0.0519, 2020-2039, canesm2, Jun Anomaly, NPL
0.39651, 2020-2039, canesm2, Jul Anomaly, NPL
0.18399, 2020-2039, canesm2, Aug Anomaly, NPL
0.09654, 2020-2039, canesm2, Sep Anomaly, NPL
0.02763, 2020-2039, canesm2, Oct Anomaly, NPL
-0.0161, 2020-2039, canesm2, Nov Anomaly, NPL
0.02433, 2020-2039, canesm2, Dec Anomaly, NPL
0.06272, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.0556, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.0522, 2020-2039, ccsm4, Mar Anomaly, NPL
0.01858, 2020-2039, ccsm4, Apr Anomaly, NPL
0.10721, 2020-2039, ccsm4, May Anomaly, NPL
0.255, 2020-2039, ccsm4, Jun Anomaly, NPL
-0.1673, 2020-2039, ccsm4, Jul Anomaly, NPL
0.44991, 2020-2039, ccsm4, Aug Anomaly, NPL
0.25801, 2020-2039, ccsm4, Sep Anomaly, NPL
-0.0557, 2020-2039, ccsm4, Oct Anomaly, NPL
-0.0115, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.2279, 2020-2039, ccsm4, Dec Anomaly, NPL
-0.0425, 2020-2039, cesm1_bgc, Jan Anomaly, NPL
-0.0404, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
-0.0247, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
-0.0435, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
-0.1234, 2020-2039, cesm1_bgc, May Anomaly, NPL
-0.3586, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
0.94171, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
1.14079, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
0.17766, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
0.04711, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
-0.0023, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
-0.2798, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
-0.1726, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
0.10749, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.03647, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
0.02071, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.10551, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.56028, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
0.7427, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.72657, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.40418, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.19169, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.05043, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
0.01445, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-0.0025, 2020-2039, cmcc_cesm, Apr Anomaly, NPL
0.05773, 2020-2039, cmcc_cm, Jan Anomaly, NPL
0.06168, 2020-2039, cmcc_cm, Feb Anomaly, NPL
0.00476, 2020-2039, cmcc_cm, Mar Anomaly, NPL
-0.0598, 2020-2039, cmcc_cm, Apr Anomaly, NPL
-0.1124, 2020-2039, cmcc_cm, May Anomaly, NPL
-0.0077, 2020-2039, cmcc_cm, Jun Anomaly, NPL
