Mean slope (deg),<10,10–20,20–30,30–40,40–50,50–60,>60
Number,7,625,1455,1162,464,89,6
Area (km2),18.6,1031.2,2056.2,618.4,152.1,24.9,1
Estimated ice reserves (km3),1.7,89.5,183.3,31.4,5.6,0.9,0.02
