Glacier Type,Glacier Type Name,Glacier Number,Glacier %,Glacier area(km2),Glacier area %,Estimated ice reserves(km3),Estimated glacier(%),Mean area per glacier(km2)
Mountain,Miscellaneous Mountain,18,0.5,8.2,0.2,0.3,0.1,0.45
Mountain,Ice Apron,942,24.7,243.1,6.2,8.3,2.7,0.26
Mountain,Cirque,24,0.6,4.9,0.1,0.1,0,0.2
Mountain,Niche,315,8.3,39.6,1,0.9,0.3,0.13
Mountain,Basin,2397,62.9,2165.9,55.5,125.4,40.2,0.9
Valley,Trough,112,2.9,1440.8,36.9,177.3,56.8,12.86
