Basin,Class,Area km2,Glacier number ,Glacier number in  %,Glacier area km2,Glacier area in %,Estimated ice reserves(km3),Estimated ice reserves(%),Mean area per glacier(km2)
Bheri,1a,<=0.1,87,21.7,5.7,1.56,0.1,0.29,0.07
Bheri,1b,0.11-0.50,164,40.9,40.4,11.09,1,4.07,0.25
Bheri,2,0.51-1.00,73,18.2,51.9,14.27,1.9,7.8,0.71
Bheri,3,1-01.5.00,67,16.71,141.5,38.9,8.3,33.52,2.11
Bheri,4,5.01-10.00,5,1.25,34.2,9.39,2.9,11.57,6.83
Bheri,5,>=10.01,5,1.25,90.2,24.79,10.5,42.75,18.04
Tila,1a,<=0.1,22,36.07,1.4,5.21,0,1.33,0.06
Tila,1b,0.11-0.50,26,42.62,6,22.46,0.1,11.2,0.23
Tila,2,0.51-1.00,8,13.11,6.4,23.88,0.2,18.83,0.8
Tila,3,1-01.5.00,4,6.56,5.6,20.93,0.3,20.58,1.4
Tila,4,5-01.10.00,1,1.64,7.4,27.53,0.6,48.05,7.37
Tila,5,>=10.01,0,0,0,0,0,0,0
Mugu,1a,<=0.1,53,25.85,3.4,2.85,0,0.72,0.06
Mugu,1b,0.11-0.50,88,42.93,21.8,18.32,0.5,9.33,0.25
Mugu,2,0.51-1.00,35,17.07,24.2,20.27,0.9,15.16,0.69
Mugu,3,1-01.5.00,27,13.17,56.3,47.26,3.2,55.6,2.09
Mugu,4,5-01.10.00,2,0.98,13.5,11.3,1.1,19.18,6.73
Mugu,5,>=10.01,0,0,0,0,0,0,0
Humla,1a,<=0.1,115,24.26,7.6,2.25,0.1,0.49,0.07
Humla,1b,0.11-0.50,209,44.09,49.3,14.58,1.2,6.18,0.24
Humla,2,0.51-1.00,65,13.71,44.9,13.29,1.6,8.46,0.69
Humla,3,1-01.5.00,73,15.4,138.1,40.88,7.7,39.29,1.89
Humla,4,5-01.10.00,8,1.69,51.2,15.16,4.2,21.49,6.4
Humla,5,>=10.01,4,0.84,46.8,13.84,4.7,24.09,11.69
Kawari,1a,<=0.1,11,22.92,0.7,2.48,0,0.62,0.07
Kawari,1b,0.11-0.50,19,39.58,5.2,17.91,0.1,9.49,0.27
Kawari,2,0.51-1.00,13,27.08,9.5,32.54,0.4,24.58,0.73
Kawari,3,1-01.5.00,4,8.33,6.7,23.07,0.4,24.75,1.68
Kawari,4,5-01.10.00,1,2.08,7,24,0.6,40.57,7
Kawari,5,>=10.01,0,0,0,0,0,0,0
West Seti,1a,<=0.1,53,19.63,3.2,2.19,0,0.54,0.06
West Seti,1b,0.11-0.50,146,54.07,36,24.66,0.9,12.46,0.25
West Seti,2,0.51-1.00,40,14.81,29.2,20.02,1.1,15.04,0.73
West Seti,3,1-01.5.00,28,10.37,52.1,35.65,2.9,39.58,1.86
West Seti,4,5-01.10.00,2,0.74,12.6,8.63,1,14.07,6.3
West Seti,5,>=10.01,1,0.37,12.9,8.84,1.3,18.31,12.91
