Glacier Mean slope(degree) ,Glacier number in 2010,Glacier number change ~1980-2010,Glacier area(km2) in 2010,Glacier area(km2) change ~1980-2010
0-10,7,5,18.6,3.5
 10 - 20,625,243,1031.2,372.4
20-30,1455,-9,2056.2,-1090.5
30-40,1162,20,618.4,-480.7
40-50,464,75,152.1,-72.3
50-60,89,38,24.9,0.8
>60,6,6,1,1
