Local time in Bhairahawa,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.06.2021 11:45,33.7,745.2,754.3,-1.0,61,Wind blowing from the east-southeast,3,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.3,,,,,,
03.06.2021 08:45,31.6,746.2,755.3,1.8,71,"Calm, no wind",0,,,no clouds,Mist. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,26.3,,,,,,,5.0,25.7,No precipitation,24,,,,
03.06.2021 05:45,26.8,744.4,753.6,,94,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,3.0,25.7,,,,,,
02.06.2021 17:45,33.4,742.5,751.6,-10.6,56,Wind blowing from the west,3,,,"10%  or less, but not 0", ,,,,34.5,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,23.6,No precipitation,9,,,,
02.06.2021 14:45,33.6,753.1,752.6,8.4,56,Wind blowing from the south,3,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,23.8,,,,,,
02.06.2021 11:45,31.6,744.7,754.0,0.4,68,Wind blowing from the south-southeast,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.0,,,,,,
02.06.2021 08:45,29.0,744.3,753.5,,75,Wind blowing from the east,3,,,no clouds, ,,,24.0,,,,,,,6.0,24.1,3,24,,,,
01.06.2021 17:45,28.2,741.7,750.9,0.0,78,"Calm, no wind",0,,,60%., ,,,,33.3,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.1,3,9,,,,
01.06.2021 14:45,27.2,741.7,751.0,-2.1,85,Wind blowing from the east,4,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,24.5,,,,,,
01.06.2021 11:45,31.3,743.8,753.0,-0.3,71,Wind blowing from the east,3,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,25.4,,,,,,
01.06.2021 08:45,27.0,744.1,753.3,1.4,76,,,,,, ,,,21.0,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.3,29,24,,,,
01.06.2021 05:45,23.2,742.7,751.9,,96,Wind blowing from the north,2,,,50%.,Clouds generally dissolving or becoming less developed. ,Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.6,,,,,,
31.05.2021 17:45,33.4,739.5,748.6,-0.9,62,Wind blowing from the west,3,,,20–30%., ,,,,34.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.1,9,9,,,,
31.05.2021 14:45,28.8,740.4,749.4,-1.3,83,Wind blowing from the north,4,,,70 – 80%.,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ",Rain.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,25.6,,,,,,
31.05.2021 11:45,33.0,741.7,750.8,-0.3,64,Wind blowing from the west-southwest,3,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,25.4,,,,,,
31.05.2021 08:45,31.2,742.0,751.2,,73,,,,,, ,,,26.5,,,,"2500 or more, or no clouds.",,,6.0,25.9,No precipitation,24,,,,
30.05.2021 17:45,32.4,741.3,750.4,-0.8,66,Wind blowing from the west,2,,,20–30%., ,,,,33.5,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.2,No precipitation,9,,,,
30.05.2021 14:45,32.6,742.1,751.6,-2.1,66,Wind blowing from the south-east,4,,,50%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,25.4,,,,,,
30.05.2021 11:45,30.3,744.2,753.4,-0.2,74,,,,,, ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.2,,,,,,
30.05.2021 08:45,28.0,744.4,753.7,0.6,85,,,,,, ,,,24.6,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,25.3,4,24,,,,
30.05.2021 05:45,25.2,743.8,753.1,,92,"Calm, no wind",0,,,60%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,23.8,,,,,,
29.05.2021 17:45,29.2,742.9,752.2,-1.7,78,Wind blowing from the east,2,,,70 – 80%., ,,,,29.9,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.9,4,9,,,,
29.05.2021 14:45,25.8,744.6,754.0,-1.3,86,Wind blowing from the east,4,,,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.3,,,,,,
29.05.2021 11:45,23.6,745.9,755.2,0.0,95,Wind blowing from the east,3,,,50%.,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",5.0,22.8,,,,,,
29.05.2021 08:45,22.8,745.9,755.3,1.4,98,,,,,,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,21.8,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus opacus or Nimbostratus.,,3.0,22.5,175,24,,,,
29.05.2021 05:45,22.4,744.5,753.8,,100,,,,,,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus opacus or Nimbostratus.,,2.0,22.4,,,,,,
28.05.2021 17:45,23.6,743.0,752.3,0.6,95,Wind blowing from the east,7,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus opacus or Nimbostratus.,,3.0,22.8,61,9,,,,
28.05.2021 14:45,24.0,742.4,751.6,-0.3,100,Wind blowing from the east,8,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus opacus or Nimbostratus.,,3.0,24.0,,,,,,
28.05.2021 11:45,24.0,742.7,752.0,-0.1,98,Wind blowing from the east-northeast,3,,,50%.,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",3.0,23.7,,,,,,
28.05.2021 08:45,24.2,742.8,752.1,,96,Wind blowing from the north-east,3,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",Rain.,Drizzle.,23.5,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,3.0,23.6,57,24,,,,
27.05.2021 17:45,24.6,741.4,750.6,-0.7,94,"Calm, no wind",0,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",Drizzle.,Drizzle.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,8.0,23.5,7,9,,,,
27.05.2021 14:45,24.8,742.1,751.3,-0.7,94,Wind blowing from the west,3,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Rain.,Drizzle.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,Altostratus opacus or Nimbostratus.,,7.0,23.7,,,,,,
27.05.2021 11:45,26.4,742.8,752.1,-0.1,91,,,,,, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10.0,24.8,,,,,,
27.05.2021 08:45,24.6,742.9,752.2,1.2,95,Wind blowing from the north,4,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation. ",Rain.,Drizzle.,18.8,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,5.0,23.8,34,24,,,,
27.05.2021 05:45,24.6,741.7,750.8,,98,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,5.0,24.2,,,,,,
26.05.2021 17:45,29.8,739.6,748.7,-0.9,65,Wind blowing from the east,5,,,70 – 80%., ,,,,34.8,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.6,No precipitation,9,,,,
26.05.2021 14:45,32.4,740.5,750.2,-1.1,58,Wind blowing from the east,5,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.1,,,,,,
26.05.2021 11:45,33.2,741.6,750.7,-0.6,57,Wind blowing from the east,6,,,60%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.7,,,,,,
26.05.2021 08:45,29.0,742.2,751.3,1.1,78,,,,,, ,,,25.4,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",50-100,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.8,No precipitation,24,,,,
26.05.2021 05:45,25.8,741.1,757.6,,90,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,24.0,,,,,,
25.05.2021 17:45,31.0,740.6,749.7,-1.1,61,Wind blowing from the east-northeast,3,,,50%., ,,,,37.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,22.7,No precipitation,9,,,,
25.05.2021 14:45,31.4,741.7,750.7,,62,Wind blowing from the east,4,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.2,,,,,,
25.05.2021 08:45,29.4,741.6,750.8,1.0,69,Wind blowing from the west,1,,,50%.,Haze. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,24.9,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",4.0,23.2,No precipitation,24,,,,
25.05.2021 05:45,25.3,740.6,749.7,,86,"Calm, no wind",0,,,70 – 80%.,Mist. ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus cumulogenitus (or cumulonimbogenitus).,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",3.5,22.7,,,,,,
24.05.2021 17:45,35.4,740.6,749.7,-1.0,35,Wind blowing from the west,6,,,50%., ,,,,38.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,17.7,No precipitation,9,,,,
24.05.2021 14:45,37.0,741.6,750.6,,40,Wind blowing from the south-southwest,4,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.2,,,,,,
24.05.2021 08:45,30.9,744.3,753.4,-4.3,71,,,,,,Mist. ,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,25.0,,,,"2500 or more, or no clouds.",,,5.0,25.0,No precipitation,24,,,,
24.05.2021 05:45,25.3,748.6,752.2,,91,"Calm, no wind",0,,,no clouds,Mist. ,,,,,,,,,,3.5,23.8,,,,,,
23.05.2021 17:45,35.1,741.0,750.1,-1.3,44,Wind blowing from the west,3,,,no clouds, ,,,,37.4,,,,,,8.0,21.0,No precipitation,9,,,,
23.05.2021 14:45,36.6,742.3,751.4,,40,,,,,, ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,21.0,,,,,,
23.05.2021 08:45,30.9,744.7,753.8,1.5,73,,,,,, ,,,26.1,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,25.6,No precipitation,24,,,,
23.05.2021 05:45,26.4,743.2,752.2,,92,"Calm, no wind",0,,,no clouds,Mist. ,,,,,,,,,,4.0,25.0,,,,,,
22.05.2021 17:45,34.0,741.0,750.1,-1.3,54,Wind blowing from the west,3,,,20–30%., ,,,,34.9,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,23.4,No precipitation,9,,,,
22.05.2021 14:45,34.0,742.3,751.5,-2.5,58,Wind blowing from the south,4,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.6,,,,,,
22.05.2021 11:45,32.4,744.8,754.0,0.2,65,,,,,, ,,,,,Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.9,,,,,,
22.05.2021 08:45,29.1,744.6,753.8,1.2,76,,,,,, ,,,24.5,,,,"2500 or more, or no clouds.",,,6.0,24.5,No precipitation,24,,,,
22.05.2021 05:45,24.8,743.4,752.6,,97,"Calm, no wind",0,,,"10%  or less, but not 0",Mist. ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",2.0,24.3,,,,,,
21.05.2021 17:45,29.8,742.3,751.5,-1.8,74,,,,,, ,,,,31.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.7,No precipitation,9,,,,
21.05.2021 14:45,30.8,744.1,753.3,-1.4,70,Wind blowing from the south-southwest,4,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.6,,,,,,
21.05.2021 11:45,30.2,745.5,754.9,-0.2,72,Wind blowing from the south-east,3,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,24.5,,,,,,
21.05.2021 08:45,27.2,745.7,755.1,1.0,82,Wind blowing from the east,4,,,60%., ,,,22.6,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.8,42,24,,,,
21.05.2021 05:45,23.1,744.7,754.1,,98,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,Altocumulus cumulogenitus (or cumulonimbogenitus).,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,22.7,,,,,,
20.05.2021 17:45,24.5,743.5,752.9,-1.0,93,,,,,, ,,,,27.5,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.3,41,9,,,,
20.05.2021 14:45,23.8,744.5,753.9,-0.5,95,Wind blowing from the south-east,3,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Rain.,Drizzle.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,,4.0,23.0,,,,,,
20.05.2021 11:45,25.4,745.0,754.2,-0.7,90,Wind blowing from the east,3,,,"90  or more, but not 100%","Drizzle, not freezing, intermittent, slight at time of observation. ",Drizzle.,Drizzle.,,,Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,23.6,,,,,,
