Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
116.521, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
136.038, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
139.313, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
112.218, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
47.1429, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
5.556, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
1.55104, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
6.40908, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
42.9934, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
85.7541, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
96.3155, 2080-2099, gfdl_esm2g, May Anomaly, NPL
104.194, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
61.2772, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
69.7098, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
58.1774, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
46.3281, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
10.383, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
1.08354, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
2.10719, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
4.21814, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
45.9747, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
92.3077, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
145.864, 2080-2099, gfdl_esm2m, May Anomaly, NPL
121.877, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
80.302, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
77.8484, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
64.032, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
57.6469, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
11.339, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
1.68889, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
3.89154, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
15.7237, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
55.1692, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
76.0388, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
75.0378, 2080-2099, hadgem2_ao, May Anomaly, NPL
77.942, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
55.3817, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
72.5902, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
83.8824, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
80.1697, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
23.2854, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
6.00969, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
9.18266, 2080-2099, hadgem2_es, Jan Anomaly, NPL
21.004, 2080-2099, hadgem2_es, Feb Anomaly, NPL
60.764, 2080-2099, hadgem2_es, Mar Anomaly, NPL
90.8278, 2080-2099, hadgem2_es, Apr Anomaly, NPL
96.7045, 2080-2099, hadgem2_es, May Anomaly, NPL
122.911, 2080-2099, hadgem2_es, Jun Anomaly, NPL
107.902, 2080-2099, hadgem2_es, Jul Anomaly, NPL
97.5618, 2080-2099, hadgem2_es, Aug Anomaly, NPL
115.344, 2080-2099, hadgem2_es, Sep Anomaly, NPL
102.885, 2080-2099, hadgem2_es, Oct Anomaly, NPL
39.1395, 2080-2099, hadgem2_es, Nov Anomaly, NPL
11.0386, 2080-2099, hadgem2_es, Dec Anomaly, NPL
7.55055, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
16.7446, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
46.1522, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
105.011, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
111.938, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
106.429, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
123.733, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
100.913, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
108.082, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
85.366, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
43.0185, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
13.1273, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
4.40068, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
16.1153, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
48.121, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
97.8089, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
111.344, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
98.4682, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
113.628, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
113.163, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
106.015, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
89.6971, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
38.266, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
5.8595, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
