Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
0.41182, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
2.38439, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
27.3825, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
60.0146, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
64.7085, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
70.5755, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
40.5964, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
39.4001, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
11.1464, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
16.5663, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
11.0455, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
2.84381, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.37547, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-1.0423, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
10.2881, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
42.0913, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
57.8364, 2060-2079, bcc_csm1_1, May Anomaly, NPL
64.4006, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
50.0652, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
3.47379, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
21.3228, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
25.7014, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
8.40142, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.46506, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
0.76833, 2060-2079, bnu_esm, Jan Anomaly, NPL
2.13265, 2060-2079, bnu_esm, Feb Anomaly, NPL
21.0553, 2060-2079, bnu_esm, Mar Anomaly, NPL
52.9294, 2060-2079, bnu_esm, Apr Anomaly, NPL
63.5093, 2060-2079, bnu_esm, May Anomaly, NPL
79.0928, 2060-2079, bnu_esm, Jun Anomaly, NPL
40.6767, 2060-2079, bnu_esm, Jul Anomaly, NPL
13.4432, 2060-2079, bnu_esm, Aug Anomaly, NPL
19.3659, 2060-2079, bnu_esm, Sep Anomaly, NPL
15.6806, 2060-2079, bnu_esm, Oct Anomaly, NPL
6.55686, 2060-2079, bnu_esm, Nov Anomaly, NPL
1.07902, 2060-2079, bnu_esm, Dec Anomaly, NPL
2.57951, 2060-2079, canesm2, Jan Anomaly, NPL
3.45783, 2060-2079, canesm2, Feb Anomaly, NPL
22.572, 2060-2079, canesm2, Mar Anomaly, NPL
60.8856, 2060-2079, canesm2, Apr Anomaly, NPL
89.1485, 2060-2079, canesm2, May Anomaly, NPL
80.1933, 2060-2079, canesm2, Jun Anomaly, NPL
71.7497, 2060-2079, canesm2, Jul Anomaly, NPL
62.0293, 2060-2079, canesm2, Aug Anomaly, NPL
56.5403, 2060-2079, canesm2, Sep Anomaly, NPL
32.9229, 2060-2079, canesm2, Oct Anomaly, NPL
9.88186, 2060-2079, canesm2, Nov Anomaly, NPL
1.2081, 2060-2079, canesm2, Dec Anomaly, NPL
1.1928, 2060-2079, ccsm4, Jan Anomaly, NPL
3.11487, 2060-2079, ccsm4, Feb Anomaly, NPL
15.02, 2060-2079, ccsm4, Mar Anomaly, NPL
37.1379, 2060-2079, ccsm4, Apr Anomaly, NPL
72.0388, 2060-2079, ccsm4, May Anomaly, NPL
73.084, 2060-2079, ccsm4, Jun Anomaly, NPL
49.1604, 2060-2079, ccsm4, Jul Anomaly, NPL
46.8047, 2060-2079, ccsm4, Aug Anomaly, NPL
38.8001, 2060-2079, ccsm4, Sep Anomaly, NPL
18.7926, 2060-2079, ccsm4, Oct Anomaly, NPL
8.80887, 2060-2079, ccsm4, Nov Anomaly, NPL
0.61579, 2060-2079, ccsm4, Dec Anomaly, NPL
1.30178, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
7.06078, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
23.9159, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
48.7192, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
77.6769, 2060-2079, cesm1_cam5, May Anomaly, NPL
88.0394, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
76.4169, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
69.4135, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
72.9054, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
45.8113, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
12.4351, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
1.96008, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
0.4612, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
2.4715, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
22.1791, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
40.4326, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
39.4897, 2060-2079, cnrm_cm5, May Anomaly, NPL
51.3598, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
58.9959, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
65.8616, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
44.123, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
23.5475, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
1.83071, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
1.11485, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
0.24678, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
4.42259, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
18.8887, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
54.0061, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
82.3092, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
99.0691, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
96.4065, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
65.8102, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
36.9594, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
27.8383, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
9.61648, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.61134, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
3.90023, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
11.3377, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
32.2854, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
83.7982, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
137.112, 2060-2079, gfdl_cm3, May Anomaly, NPL
110.242, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
73.1015, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
75.3561, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
82.3948, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
67.5967, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
19.0814, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
3.11804, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-1.5374, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
0.19051, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
21.2889, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
25.6158, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
