Cooling Degree Days - (Celsius), Year, Model, Statistics, ISO3
0.37642, 2020-2039, access1_0, Jan Anomaly, NPL
3.44576, 2020-2039, access1_0, Feb Anomaly, NPL
17.4635, 2020-2039, access1_0, Mar Anomaly, NPL
23.1333, 2020-2039, access1_0, Apr Anomaly, NPL
18.7046, 2020-2039, access1_0, May Anomaly, NPL
-1.1631, 2020-2039, access1_0, Jun Anomaly, NPL
14.5805, 2020-2039, access1_0, Jul Anomaly, NPL
22.0926, 2020-2039, access1_0, Aug Anomaly, NPL
27.3055, 2020-2039, access1_0, Sep Anomaly, NPL
19.224, 2020-2039, access1_0, Oct Anomaly, NPL
6.96471, 2020-2039, access1_0, Nov Anomaly, NPL
1.12458, 2020-2039, access1_0, Dec Anomaly, NPL
0.12929, 2020-2039, access1_3, Jan Anomaly, NPL
0.14593, 2020-2039, access1_3, Feb Anomaly, NPL
15.0024, 2020-2039, access1_3, Mar Anomaly, NPL
28.7558, 2020-2039, access1_3, Apr Anomaly, NPL
15.1757, 2020-2039, access1_3, May Anomaly, NPL
14.4852, 2020-2039, access1_3, Jun Anomaly, NPL
20.2752, 2020-2039, access1_3, Jul Anomaly, NPL
21.0133, 2020-2039, access1_3, Aug Anomaly, NPL
26.8873, 2020-2039, access1_3, Sep Anomaly, NPL
17.7568, 2020-2039, access1_3, Oct Anomaly, NPL
6.07151, 2020-2039, access1_3, Nov Anomaly, NPL
0.17738, 2020-2039, access1_3, Dec Anomaly, NPL
0.3649, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.6331, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
16.0584, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
45.7225, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
68.1213, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
41.2654, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
38.7679, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
29.1609, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
5.8683, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
24.1753, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
8.4882, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
1.01659, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
0.32182, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-1.4582, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
7.30717, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
32.2258, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
52.5357, 2020-2039, bcc_csm1_1, May Anomaly, NPL
49.231, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
51.1427, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
17.4573, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
5.5572, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
9.3451, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
2.81581, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.6263, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.57573, 2020-2039, bnu_esm, Jan Anomaly, NPL
3.21201, 2020-2039, bnu_esm, Feb Anomaly, NPL
17.5509, 2020-2039, bnu_esm, Mar Anomaly, NPL
28.4223, 2020-2039, bnu_esm, Apr Anomaly, NPL
53.2847, 2020-2039, bnu_esm, May Anomaly, NPL
65.3353, 2020-2039, bnu_esm, Jun Anomaly, NPL
32.8106, 2020-2039, bnu_esm, Jul Anomaly, NPL
19.5839, 2020-2039, bnu_esm, Aug Anomaly, NPL
20.3118, 2020-2039, bnu_esm, Sep Anomaly, NPL
15.5736, 2020-2039, bnu_esm, Oct Anomaly, NPL
6.02434, 2020-2039, bnu_esm, Nov Anomaly, NPL
1.17919, 2020-2039, bnu_esm, Dec Anomaly, NPL
1.33934, 2020-2039, canesm2, Jan Anomaly, NPL
1.08299, 2020-2039, canesm2, Feb Anomaly, NPL
17.2933, 2020-2039, canesm2, Mar Anomaly, NPL
