Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
8.52703, 2020-2039, access1_0, Annual Anomaly, NPL
10.4208, 2020-2039, access1_3, Annual Anomaly, NPL
12.8444, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
14.5035, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
6.41024, 2020-2039, bnu_esm, Annual Anomaly, NPL
13.7148, 2020-2039, canesm2, Annual Anomaly, NPL
16.2266, 2020-2039, ccsm4, Annual Anomaly, NPL
6.43409, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
24.1457, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
0.29887, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
20.8662, 2020-2039, cmcc_cm, Annual Anomaly, NPL
-10.886, 2020-2039, cmcc_cms, Annual Anomaly, NPL
-4.258, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
4.17953, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
14.4669, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
7.04456, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
3.38621, 2020-2039, hadgem2_es, Annual Anomaly, NPL
4.11161, 2020-2039, inmcm4, Annual Anomaly, NPL
6.38676, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
13.5605, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
2.52367, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
4.80282, 2020-2039, miroc5, Annual Anomaly, NPL
7.10893, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
5.5352, 2020-2039, miroc_esm, Annual Anomaly, NPL
8.35518, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
4.45221, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
14.8913, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
9.60145, 2020-2039, mri_esm1, Annual Anomaly, NPL
18.6081, 2020-2039, noresm1_m, Annual Anomaly, NPL
-34.827, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
10.1004, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
130.984, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
