Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
7.70143, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
10.4743, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
8.91231, 2060-2079, bnu_esm, Annual Anomaly, NPL
20.0232, 2060-2079, canesm2, Annual Anomaly, NPL
18.6789, 2060-2079, ccsm4, Annual Anomaly, NPL
41.8645, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-2.3043, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
-0.7407, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
16.0673, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
9.84175, 2060-2079, hadgem2_es, Annual Anomaly, NPL
1.57384, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
19.2037, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
17.0008, 2060-2079, miroc5, Annual Anomaly, NPL
13.343, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
7.51944, 2060-2079, miroc_esm, Annual Anomaly, NPL
-4.3853, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
-4.6479, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
15.2903, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
15.1847, 2060-2079, noresm1_m, Annual Anomaly, NPL
-36.81, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
13.0263, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
125.613, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
