Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
-1.0557, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
16.8955, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
13.4132, 2040-2059, ccsm4, Annual Anomaly, NPL
29.0454, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
2.89906, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
14.2091, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
7.52398, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-0.4235, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
19.91, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
17.2012, 2040-2059, miroc5, Annual Anomaly, NPL
11.5701, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.15341, 2040-2059, miroc_esm, Annual Anomaly, NPL
6.09829, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
10.7628, 2040-2059, noresm1_m, Annual Anomaly, NPL
-30.395, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
10.7929, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
144.362, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
