Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
20.4779, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
19.8646, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
45.7018, 2060-2079, ccsm4, Annual Anomaly, NPL
56.9928, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
1.24582, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
16.2962, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
8.79069, 2060-2079, hadgem2_es, Annual Anomaly, NPL
3.95262, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
21.1976, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
21.7472, 2060-2079, miroc5, Annual Anomaly, NPL
22.1197, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
6.01396, 2060-2079, miroc_esm, Annual Anomaly, NPL
23.7781, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
16.365, 2060-2079, noresm1_m, Annual Anomaly, NPL
-28.33, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
17.2527, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
174.216, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
