Expected Daily Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
35.2051, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
15.048, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
25.7273, 2080-2099, ccsm4, Annual Anomaly, NPL
77.3988, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
6.69689, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
29.1908, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
17.3633, 2080-2099, hadgem2_es, Annual Anomaly, NPL
2.46295, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
33.4479, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
24.3883, 2080-2099, miroc5, Annual Anomaly, NPL
12.3936, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
14.0872, 2080-2099, miroc_esm, Annual Anomaly, NPL
27.2633, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
24.31, 2080-2099, noresm1_m, Annual Anomaly, NPL
-25.085, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
22.9186, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
174.479, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
