FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b6a,40347,3,3,30,1940,50.19,POINT (9601306.080919845 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b6b,40348,3,3,30,1940,51.9,POINT (9656965.826316481 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b6c,40349,3,3,30,1940,50,POINT (9712625.57171312 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b6d,40350,3,3,30,1940,46.59,POINT (9768285.317109756 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b6e,42530,3,3,30,1940,154.2,POINT (8933389.136160204 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b6f,42531,3,3,30,1940,151.7,POINT (8989048.88155684 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b70,42532,3,3,30,1940,151.1,POINT (9044708.626953477 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b71,42533,3,3,30,1940,151.29,POINT (9100368.372350115 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b72,42534,3,3,30,1940,148.59,POINT (9156028.117746752 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b73,42535,3,3,30,1940,147.5,POINT (9211687.863143386 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b74,42536,3,3,30,1940,145.5,POINT (9267347.608540025 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b75,42537,3,3,30,1940,141.39,POINT (9323007.353936663 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b76,42538,3,3,30,1940,139.59,POINT (9378667.099333297 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b77,42539,3,3,30,1940,138,POINT (9434326.844729934 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b78,42540,3,3,30,1940,134.1,POINT (9489986.590126572 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b79,42541,3,3,30,1940,130.4,POINT (9545646.335523209 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b7a,42542,3,3,30,1940,125.79,POINT (9601306.080919845 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b7b,42543,3,3,30,1940,114.8,POINT (9656965.826316481 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b7c,42544,3,3,30,1940,113.19,POINT (9712625.57171312 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b7d,42545,3,3,30,1940,106.7,POINT (9768285.317109756 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b7e,40981,3,3,30,1940,119.19,POINT (8933389.136160204 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b7f,40982,3,3,30,1940,110.79,POINT (8989048.88155684 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b80,40983,3,3,30,1940,104.49,POINT (9044708.626953477 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b81,40984,3,3,30,1940,99.39,POINT (9100368.372350115 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b82,40985,3,3,30,1940,79.8,POINT (9156028.117746752 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b83,40986,3,3,30,1940,54.9,POINT (9211687.863143386 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b84,40987,3,3,30,1940,52.29,POINT (9267347.608540025 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b85,40988,3,3,30,1940,49.2,POINT (9323007.353936663 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b86,40989,3,3,30,1940,53.79,POINT (9378667.099333297 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b87,40990,3,3,30,1940,50.4,POINT (9434326.844729934 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b88,40991,3,3,30,1940,52.5,POINT (9489986.590126572 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b89,40992,3,3,30,1940,56.4,POINT (9545646.335523209 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b8a,40993,3,3,30,1940,54,POINT (9601306.080919845 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b8b,40994,3,3,30,1940,60.2,POINT (9656965.826316481 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b8c,40995,3,3,30,1940,58.59,POINT (9712625.57171312 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b8d,40996,3,3,30,1940,62.3,POINT (9768285.317109756 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a382f6ff8_b8e,41926,3,3,30,1940,148.1,POINT (8933389.136160204 3217490.9158222144)
