Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
32.0486, 2020-2039, access1_0, Annual Anomaly, NPL
31.4512, 2020-2039, access1_3, Annual Anomaly, NPL
12.6074, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
41.2301, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
28.7082, 2020-2039, bnu_esm, Annual Anomaly, NPL
29.9806, 2020-2039, canesm2, Annual Anomaly, NPL
95.6071, 2020-2039, ccsm4, Annual Anomaly, NPL
27.0694, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
20.1259, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-21.995, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.636, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
11.7813, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
9.76328, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
11.6991, 2020-2039, inmcm4, Annual Anomaly, NPL
-4.7065, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
28.1253, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-15.3, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
63.2008, 2020-2039, miroc5, Annual Anomaly, NPL
13.2264, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
7.77514, 2020-2039, miroc_esm, Annual Anomaly, NPL
54.7239, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
39.8128, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
46.4803, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
81.194, 2020-2039, noresm1_m, Annual Anomaly, NPL
-115.0, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
10.0335, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
444.773, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
