Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
93.0445, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
46.0343, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
103.943, 2080-2099, ccsm4, Annual Anomaly, NPL
188.316, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
12.5288, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
91.0111, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
52.0, 2080-2099, hadgem2_es, Annual Anomaly, NPL
12.0722, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
90.4942, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
96.1447, 2080-2099, miroc5, Annual Anomaly, NPL
39.097, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
40.8166, 2080-2099, miroc_esm, Annual Anomaly, NPL
60.017, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
93.5114, 2080-2099, noresm1_m, Annual Anomaly, NPL
-81.704, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
52.4105, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
566.219, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
