Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
4.74428, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
45.3398, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
27.017, 2040-2059, bnu_esm, Annual Anomaly, NPL
84.1916, 2040-2059, canesm2, Annual Anomaly, NPL
137.914, 2040-2059, ccsm4, Annual Anomaly, NPL
79.2682, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-6.8694, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
7.89535, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
52.3941, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-2.9397, 2040-2059, hadgem2_es, Annual Anomaly, NPL
11.3083, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
46.6072, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
18.4768, 2040-2059, miroc5, Annual Anomaly, NPL
22.4708, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
15.1928, 2040-2059, miroc_esm, Annual Anomaly, NPL
5.35928, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-29.764, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
23.6042, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
70.2747, 2040-2059, noresm1_m, Annual Anomaly, NPL
-110.96, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
27.8508, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
462.121, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
