Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
44.0443, 2040-2059, access1_0, Annual Anomaly, NPL
44.6835, 2040-2059, access1_3, Annual Anomaly, NPL
52.353, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
50.7059, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
28.4367, 2040-2059, bnu_esm, Annual Anomaly, NPL
110.859, 2040-2059, canesm2, Annual Anomaly, NPL
60.8364, 2040-2059, ccsm4, Annual Anomaly, NPL
101.73, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
147.012, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-17.871, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-0.4438, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
32.0613, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
16.9052, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
11.5534, 2040-2059, inmcm4, Annual Anomaly, NPL
35.8815, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
29.5466, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-1.284, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
64.8046, 2040-2059, miroc5, Annual Anomaly, NPL
10.2836, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
2.60318, 2040-2059, miroc_esm, Annual Anomaly, NPL
19.4999, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
12.4905, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
33.268, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
123.076, 2040-2059, noresm1_m, Annual Anomaly, NPL
-110.11, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
26.5256, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
471.372, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
