Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
112.651, 2080-2099, access1_0, Annual Anomaly, NPL
179.493, 2080-2099, access1_3, Annual Anomaly, NPL
62.7973, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
95.7231, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
94.213, 2080-2099, bnu_esm, Annual Anomaly, NPL
156.675, 2080-2099, canesm2, Annual Anomaly, NPL
196.059, 2080-2099, ccsm4, Annual Anomaly, NPL
115.696, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
268.852, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-2.9671, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
197.875, 2080-2099, cmcc_cm, Annual Anomaly, NPL
47.5357, 2080-2099, cmcc_cms, Annual Anomaly, NPL
36.0832, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
28.2322, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
147.6, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
87.7197, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
91.4414, 2080-2099, hadgem2_es, Annual Anomaly, NPL
21.5694, 2080-2099, inmcm4, Annual Anomaly, NPL
87.1682, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
181.095, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
32.7331, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
147.789, 2080-2099, miroc5, Annual Anomaly, NPL
69.308, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
29.177, 2080-2099, miroc_esm, Annual Anomaly, NPL
45.8191, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
45.4825, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
46.6686, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
76.5308, 2080-2099, mri_esm1, Annual Anomaly, NPL
196.147, 2080-2099, noresm1_m, Annual Anomaly, NPL
-81.873, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
88.8103, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
556.127, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
