Expected 5-day Cumulative Rainfall Maximum in 10 Years (10-yr Return Level) - (MM), Year, Model, Statistics, ISO3
55.6285, 2080-2099, access1_0, Annual Anomaly, NPL
91.1456, 2080-2099, access1_3, Annual Anomaly, NPL
30.3505, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
51.4307, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
61.9252, 2080-2099, bnu_esm, Annual Anomaly, NPL
83.0934, 2080-2099, canesm2, Annual Anomaly, NPL
140.188, 2080-2099, ccsm4, Annual Anomaly, NPL
69.6077, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
176.443, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-8.7565, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
13.9791, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
44.9398, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
61.0809, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
11.2093, 2080-2099, inmcm4, Annual Anomaly, NPL
29.1048, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
54.0647, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
5.01732, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
118.645, 2080-2099, miroc5, Annual Anomaly, NPL
28.73, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.76148, 2080-2099, miroc_esm, Annual Anomaly, NPL
1.54872, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
27.7638, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
31.7059, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
72.6591, 2080-2099, noresm1_m, Annual Anomaly, NPL
-106.27, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
39.6099, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
490.836, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
