FID,id_punto,cod_variable,period,period_n,trend_anual,geom
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7287,40335,2,1,1901-2012,0.84,POINT (8933389.136160204 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7286,40336,2,1,1901-2012,0.87,POINT (8989048.88155684 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7285,40337,2,1,1901-2012,0.91,POINT (9044708.626953477 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7284,40338,2,1,1901-2012,0.96,POINT (9100368.372350115 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7283,40339,2,1,1901-2012,1,POINT (9156028.117746752 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7282,40340,2,1,1901-2012,1.04,POINT (9211687.863143386 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7281,40341,2,1,1901-2012,1.07,POINT (9267347.608540025 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7280,40342,2,1,1901-2012,1.1,POINT (9323007.353936663 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-727f,40343,2,1,1901-2012,1.09,POINT (9378667.099333297 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-727e,40344,2,1,1901-2012,1.06,POINT (9434326.844729934 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-727d,40345,2,1,1901-2012,1.02,POINT (9489986.590126572 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-727c,40346,2,1,1901-2012,0.98,POINT (9545646.335523209 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-727b,40347,2,1,1901-2012,0.95,POINT (9601306.080919845 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-727a,40348,2,1,1901-2012,0.91,POINT (9656965.826316481 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7279,40349,2,1,1901-2012,0.89,POINT (9712625.57171312 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7278,40350,2,1,1901-2012,0.87,POINT (9768285.317109756 3535725.659799159)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7277,40665,2,1,1901-2012,0.77,POINT (8933389.136160204 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7276,40666,2,1,1901-2012,0.82,POINT (8989048.88155684 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7275,40667,2,1,1901-2012,0.86,POINT (9044708.626953477 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7274,40668,2,1,1901-2012,0.91,POINT (9100368.372350115 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7273,40669,2,1,1901-2012,0.96,POINT (9156028.117746752 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7272,40670,2,1,1901-2012,1,POINT (9211687.863143386 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7271,40671,2,1,1901-2012,1.05,POINT (9267347.608540025 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7270,40672,2,1,1901-2012,1.07,POINT (9323007.353936663 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-726f,40673,2,1,1901-2012,1.09,POINT (9378667.099333297 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-726e,40674,2,1,1901-2012,1.1,POINT (9434326.844729934 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-726d,40675,2,1,1901-2012,1.07,POINT (9489986.590126572 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-726c,40676,2,1,1901-2012,1.03,POINT (9545646.335523209 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-726b,40677,2,1,1901-2012,1,POINT (9601306.080919845 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-726a,40678,2,1,1901-2012,0.98,POINT (9656965.826316481 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7269,40679,2,1,1901-2012,0.95,POINT (9712625.57171312 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7268,40680,2,1,1901-2012,0.96,POINT (9768285.317109756 3471454.9819268296)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7267,40981,2,1,1901-2012,0.72,POINT (8933389.136160204 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7266,40982,2,1,1901-2012,0.77,POINT (8989048.88155684 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7265,40983,2,1,1901-2012,0.82,POINT (9044708.626953477 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7264,40984,2,1,1901-2012,0.86,POINT (9100368.372350115 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7263,40985,2,1,1901-2012,0.92,POINT (9156028.117746752 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7262,40986,2,1,1901-2012,0.96,POINT (9211687.863143386 3407504.076175717)
trends_anual_espacial_2_p.fid--5ff12b53_17a375593c2_-7261,40987,2,1,1901-2012,1.01,POINT (9267347.608540025 3407504.076175717)
