FID,id_punto,cod_variable,period,period_n,trend_anual,geom
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7307,40335,1,1,1901-2012,-167.65,POINT (8933389.136160204 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7306,40336,1,1,1901-2012,-127.62,POINT (8989048.88155684 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7305,40337,1,1,1901-2012,-107.61,POINT (9044708.626953477 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7304,40338,1,1,1901-2012,-104.84,POINT (9100368.372350115 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7303,40339,1,1,1901-2012,-88.56,POINT (9156028.117746752 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7302,40340,1,1,1901-2012,-88.48,POINT (9211687.863143386 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7301,40341,1,1,1901-2012,-91.53,POINT (9267347.608540025 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-7300,40342,1,1,1901-2012,-78.81,POINT (9323007.353936663 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72ff,40343,1,1,1901-2012,-63.87,POINT (9378667.099333297 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72fe,40344,1,1,1901-2012,-53.54,POINT (9434326.844729934 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72fd,40345,1,1,1901-2012,-42.15,POINT (9489986.590126572 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72fc,40346,1,1,1901-2012,-36.97,POINT (9545646.335523209 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72fb,40347,1,1,1901-2012,-27.79,POINT (9601306.080919845 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72fa,40348,1,1,1901-2012,-12.85,POINT (9656965.826316481 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f9,40349,1,1,1901-2012,5.49,POINT (9712625.57171312 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f8,40350,1,1,1901-2012,23.25,POINT (9768285.317109756 3535725.659799159)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f7,40665,1,1,1901-2012,-310.43,POINT (8933389.136160204 3471454.9819268296)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f6,40666,1,1,1901-2012,-233.18,POINT (8989048.88155684 3471454.9819268296)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f5,40667,1,1,1901-2012,-154.12,POINT (9044708.626953477 3471454.9819268296)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f4,40668,1,1,1901-2012,-149.01,POINT (9100368.372350115 3471454.9819268296)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f3,40669,1,1,1901-2012,-119.89,POINT (9156028.117746752 3471454.9819268296)
trends_anual_espacial_1_p.fid--5ff12b53_17a375593c2_-72f2,40670,1,1,1901-2012,-86.67,POINT (9211687.863143386 3471454.9819268296)
