Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
33.745102, 2060-2079, gfdl_cm3, May Average, Nepal, NPL
31.989414, 2060-2079, gfdl_cm3, Jun Average, Nepal, NPL
28.224442, 2060-2079, gfdl_cm3, Jul Average, Nepal, NPL
27.757603, 2060-2079, gfdl_cm3, Aug Average, Nepal, NPL
26.865885, 2060-2079, gfdl_cm3, Sep Average, Nepal, NPL
24.639484, 2060-2079, gfdl_cm3, Oct Average, Nepal, NPL
21.292578, 2060-2079, gfdl_cm3, Nov Average, Nepal, NPL
17.46663, 2060-2079, gfdl_cm3, Dec Average, Nepal, NPL
13.960632, 2060-2079, gfdl_esm2m, Jan Average, Nepal, NPL
15.767534, 2060-2079, gfdl_esm2m, Feb Average, Nepal, NPL
21.17306, 2060-2079, gfdl_esm2m, Mar Average, Nepal, NPL
27.555376, 2060-2079, gfdl_esm2m, Apr Average, Nepal, NPL
33.679867, 2060-2079, gfdl_esm2m, May Average, Nepal, NPL
32.309555, 2060-2079, gfdl_esm2m, Jun Average, Nepal, NPL
26.891521, 2060-2079, gfdl_esm2m, Jul Average, Nepal, NPL
25.339827, 2060-2079, gfdl_esm2m, Aug Average, Nepal, NPL
23.387611, 2060-2079, gfdl_esm2m, Sep Average, Nepal, NPL
20.434893, 2060-2079, gfdl_esm2m, Oct Average, Nepal, NPL
16.26639, 2060-2079, gfdl_esm2m, Nov Average, Nepal, NPL
13.462475, 2060-2079, gfdl_esm2m, Dec Average, Nepal, NPL
27.364697, 2060-2079, giss_e2_h, Jan Average, Nepal, NPL
29.52489, 2060-2079, giss_e2_h, Feb Average, Nepal, NPL
34.07965, 2060-2079, giss_e2_h, Mar Average, Nepal, NPL
38.066765, 2060-2079, giss_e2_h, Apr Average, Nepal, NPL
41.474804, 2060-2079, giss_e2_h, May Average, Nepal, NPL
43.080364, 2060-2079, giss_e2_h, Jun Average, Nepal, NPL
43.380024, 2060-2079, giss_e2_h, Jul Average, Nepal, NPL
41.478813, 2060-2079, giss_e2_h, Aug Average, Nepal, NPL
40.352436, 2060-2079, giss_e2_h, Sep Average, Nepal, NPL
36.461216, 2060-2079, giss_e2_h, Oct Average, Nepal, NPL
31.570742, 2060-2079, giss_e2_h, Nov Average, Nepal, NPL
27.85299, 2060-2079, giss_e2_h, Dec Average, Nepal, NPL
27.709759, 2060-2079, giss_e2_r, Jan Average, Nepal, NPL
30.681564, 2060-2079, giss_e2_r, Feb Average, Nepal, NPL
34.664097, 2060-2079, giss_e2_r, Mar Average, Nepal, NPL
38.928196, 2060-2079, giss_e2_r, Apr Average, Nepal, NPL
42.073425, 2060-2079, giss_e2_r, May Average, Nepal, NPL
43.91058, 2060-2079, giss_e2_r, Jun Average, Nepal, NPL
43.872482, 2060-2079, giss_e2_r, Jul Average, Nepal, NPL
41.63017, 2060-2079, giss_e2_r, Aug Average, Nepal, NPL
40.25545, 2060-2079, giss_e2_r, Sep Average, Nepal, NPL
36.59187, 2060-2079, giss_e2_r, Oct Average, Nepal, NPL
31.8292, 2060-2079, giss_e2_r, Nov Average, Nepal, NPL
28.296108, 2060-2079, giss_e2_r, Dec Average, Nepal, NPL
24.11981, 2060-2079, ipsl_cm5a_mr, Jan Average, Nepal, NPL
27.689474, 2060-2079, ipsl_cm5a_mr, Feb Average, Nepal, NPL
32.15441, 2060-2079, ipsl_cm5a_mr, Mar Average, Nepal, NPL
36.442566, 2060-2079, ipsl_cm5a_mr, Apr Average, Nepal, NPL
38.50848, 2060-2079, ipsl_cm5a_mr, May Average, Nepal, NPL
38.914986, 2060-2079, ipsl_cm5a_mr, Jun Average, Nepal, NPL
38.53974, 2060-2079, ipsl_cm5a_mr, Jul Average, Nepal, NPL
36.2654, 2060-2079, ipsl_cm5a_mr, Aug Average, Nepal, NPL
35.342632, 2060-2079, ipsl_cm5a_mr, Sep Average, Nepal, NPL
32.976505, 2060-2079, ipsl_cm5a_mr, Oct Average, Nepal, NPL
28.667084, 2060-2079, ipsl_cm5a_mr, Nov Average, Nepal, NPL
24.565834, 2060-2079, ipsl_cm5a_mr, Dec Average, Nepal, NPL
12.284932, 2060-2079, miroc_esm, Jan Average, Nepal, NPL
15.364956, 2060-2079, miroc_esm, Feb Average, Nepal, NPL
19.686922, 2060-2079, miroc_esm, Mar Average, Nepal, NPL
25.680948, 2060-2079, miroc_esm, Apr Average, Nepal, NPL
28.82255, 2060-2079, miroc_esm, May Average, Nepal, NPL
25.639818, 2060-2079, miroc_esm, Jun Average, Nepal, NPL
21.97434, 2060-2079, miroc_esm, Jul Average, Nepal, NPL
21.449127, 2060-2079, miroc_esm, Aug Average, Nepal, NPL
22.876446, 2060-2079, miroc_esm, Sep Average, Nepal, NPL
20.96974, 2060-2079, miroc_esm, Oct Average, Nepal, NPL
16.524801, 2060-2079, miroc_esm, Nov Average, Nepal, NPL
13.475514, 2060-2079, miroc_esm, Dec Average, Nepal, NPL
12.876784, 2060-2079, miroc_esm_chem, Jan Average, Nepal, NPL
