Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
14.941042, 2080-2099, bcc_csm1_1, Jan Average, Nepal, NPL
17.466541, 2080-2099, bcc_csm1_1, Feb Average, Nepal, NPL
23.528429, 2080-2099, bcc_csm1_1, Mar Average, Nepal, NPL
29.90471, 2080-2099, bcc_csm1_1, Apr Average, Nepal, NPL
34.847, 2080-2099, bcc_csm1_1, May Average, Nepal, NPL
36.981876, 2080-2099, bcc_csm1_1, Jun Average, Nepal, NPL
30.357546, 2080-2099, bcc_csm1_1, Jul Average, Nepal, NPL
30.364681, 2080-2099, bcc_csm1_1, Aug Average, Nepal, NPL
32.02385, 2080-2099, bcc_csm1_1, Sep Average, Nepal, NPL
28.01756, 2080-2099, bcc_csm1_1, Oct Average, Nepal, NPL
21.331347, 2080-2099, bcc_csm1_1, Nov Average, Nepal, NPL
14.9767885, 2080-2099, bcc_csm1_1, Dec Average, Nepal, NPL
20.565641, 2080-2099, bcc_csm1_1_m, Jan Average, Nepal, NPL
23.570486, 2080-2099, bcc_csm1_1_m, Feb Average, Nepal, NPL
29.708548, 2080-2099, bcc_csm1_1_m, Mar Average, Nepal, NPL
36.45097, 2080-2099, bcc_csm1_1_m, Apr Average, Nepal, NPL
38.99357, 2080-2099, bcc_csm1_1_m, May Average, Nepal, NPL
40.358177, 2080-2099, bcc_csm1_1_m, Jun Average, Nepal, NPL
34.87794, 2080-2099, bcc_csm1_1_m, Jul Average, Nepal, NPL
33.401905, 2080-2099, bcc_csm1_1_m, Aug Average, Nepal, NPL
32.28834, 2080-2099, bcc_csm1_1_m, Sep Average, Nepal, NPL
31.11309, 2080-2099, bcc_csm1_1_m, Oct Average, Nepal, NPL
26.151564, 2080-2099, bcc_csm1_1_m, Nov Average, Nepal, NPL
22.57724, 2080-2099, bcc_csm1_1_m, Dec Average, Nepal, NPL
22.333939, 2080-2099, ccsm4, Jan Average, Nepal, NPL
25.137272, 2080-2099, ccsm4, Feb Average, Nepal, NPL
30.203625, 2080-2099, ccsm4, Mar Average, Nepal, NPL
36.820362, 2080-2099, ccsm4, Apr Average, Nepal, NPL
40.89896, 2080-2099, ccsm4, May Average, Nepal, NPL
37.97923, 2080-2099, ccsm4, Jun Average, Nepal, NPL
31.782024, 2080-2099, ccsm4, Jul Average, Nepal, NPL
31.71138, 2080-2099, ccsm4, Aug Average, Nepal, NPL
31.11358, 2080-2099, ccsm4, Sep Average, Nepal, NPL
29.803226, 2080-2099, ccsm4, Oct Average, Nepal, NPL
26.728334, 2080-2099, ccsm4, Nov Average, Nepal, NPL
23.826933, 2080-2099, ccsm4, Dec Average, Nepal, NPL
23.47992, 2080-2099, cesm1_cam5, Jan Average, Nepal, NPL
26.10644, 2080-2099, cesm1_cam5, Feb Average, Nepal, NPL
31.7422, 2080-2099, cesm1_cam5, Mar Average, Nepal, NPL
36.276768, 2080-2099, cesm1_cam5, Apr Average, Nepal, NPL
35.972366, 2080-2099, cesm1_cam5, May Average, Nepal, NPL
35.71836, 2080-2099, cesm1_cam5, Jun Average, Nepal, NPL
31.182358, 2080-2099, cesm1_cam5, Jul Average, Nepal, NPL
30.326912, 2080-2099, cesm1_cam5, Aug Average, Nepal, NPL
30.546715, 2080-2099, cesm1_cam5, Sep Average, Nepal, NPL
29.769878, 2080-2099, cesm1_cam5, Oct Average, Nepal, NPL
27.076275, 2080-2099, cesm1_cam5, Nov Average, Nepal, NPL
24.116676, 2080-2099, cesm1_cam5, Dec Average, Nepal, NPL
19.533607, 2080-2099, csiro_mk3_6_0, Jan Average, Nepal, NPL
23.308075, 2080-2099, csiro_mk3_6_0, Feb Average, Nepal, NPL
27.892963, 2080-2099, csiro_mk3_6_0, Mar Average, Nepal, NPL
