Monthly Max-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
2.0352774, 2060-2079, bcc_csm1_1, Jan Anomaly, Nepal, NPL
0.67157847, 2060-2079, bcc_csm1_1, Feb Anomaly, Nepal, NPL
1.3000556, 2060-2079, bcc_csm1_1, Mar Anomaly, Nepal, NPL
1.4516667, 2060-2079, bcc_csm1_1, Apr Anomaly, Nepal, NPL
1.1589277, 2060-2079, bcc_csm1_1, May Anomaly, Nepal, NPL
0.8656968, 2060-2079, bcc_csm1_1, Jun Anomaly, Nepal, NPL
1.4400734, 2060-2079, bcc_csm1_1, Jul Anomaly, Nepal, NPL
-0.41002983, 2060-2079, bcc_csm1_1, Aug Anomaly, Nepal, NPL
0.45958382, 2060-2079, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.5317023, 2060-2079, bcc_csm1_1, Oct Anomaly, Nepal, NPL
1.3587302, 2060-2079, bcc_csm1_1, Nov Anomaly, Nepal, NPL
1.4037054, 2060-2079, bcc_csm1_1, Dec Anomaly, Nepal, NPL
1.7036368, 2060-2079, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
0.95140886, 2060-2079, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
2.3622162, 2060-2079, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
2.26388, 2060-2079, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
1.395251, 2060-2079, bcc_csm1_1_m, May Anomaly, Nepal, NPL
1.8244183, 2060-2079, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
0.95521706, 2060-2079, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
1.0806646, 2060-2079, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
0.14247568, 2060-2079, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
0.80737484, 2060-2079, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
1.6249198, 2060-2079, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
2.5190096, 2060-2079, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
1.2011496, 2060-2079, ccsm4, Jan Anomaly, Nepal, NPL
0.5774261, 2060-2079, ccsm4, Feb Anomaly, Nepal, NPL
1.6685611, 2060-2079, ccsm4, Mar Anomaly, Nepal, NPL
1.1341152, 2060-2079, ccsm4, Apr Anomaly, Nepal, NPL
1.9321978, 2060-2079, ccsm4, May Anomaly, Nepal, NPL
2.2460768, 2060-2079, ccsm4, Jun Anomaly, Nepal, NPL
1.0253887, 2060-2079, ccsm4, Jul Anomaly, Nepal, NPL
0.9369748, 2060-2079, ccsm4, Aug Anomaly, Nepal, NPL
0.9482032, 2060-2079, ccsm4, Sep Anomaly, Nepal, NPL
0.7799801, 2060-2079, ccsm4, Oct Anomaly, Nepal, NPL
1.3155911, 2060-2079, ccsm4, Nov Anomaly, Nepal, NPL
1.495889, 2060-2079, ccsm4, Dec Anomaly, Nepal, NPL
1.7998685, 2060-2079, cesm1_cam5, Jan Anomaly, Nepal, NPL
2.4559877, 2060-2079, cesm1_cam5, Feb Anomaly, Nepal, NPL
1.5311729, 2060-2079, cesm1_cam5, Mar Anomaly, Nepal, NPL
0.6286282, 2060-2079, cesm1_cam5, Apr Anomaly, Nepal, NPL
1.5481777, 2060-2079, cesm1_cam5, May Anomaly, Nepal, NPL
2.3145323, 2060-2079, cesm1_cam5, Jun Anomaly, Nepal, NPL
1.5741975, 2060-2079, cesm1_cam5, Jul Anomaly, Nepal, NPL
