Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
-4.0647, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
188.772, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
63.4204, 2040-2059, bnu_esm, Annual Anomaly, NPL
83.7389, 2040-2059, canesm2, Annual Anomaly, NPL
-17.221, 2040-2059, ccsm4, Annual Anomaly, NPL
125.3, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-35.786, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-24.803, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
-24.11, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
45.4738, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
163.312, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
7.87589, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-40.814, 2040-2059, hadgem2_es, Annual Anomaly, NPL
-7.5503, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
190.173, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-196.14, 2040-2059, miroc5, Annual Anomaly, NPL
41.3822, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-31.028, 2040-2059, miroc_esm, Annual Anomaly, NPL
-23.319, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-208.74, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
101.124, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
45.1354, 2040-2059, noresm1_m, Annual Anomaly, NPL
-290.37, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
56.4901, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
720.567, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
