Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
94.994, 2020-2039, access1_0, Annual Anomaly, NPL
47.3195, 2020-2039, access1_3, Annual Anomaly, NPL
-19.677, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-24.591, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
113.568, 2020-2039, bnu_esm, Annual Anomaly, NPL
-79.51, 2020-2039, canesm2, Annual Anomaly, NPL
-4.8274, 2020-2039, ccsm4, Annual Anomaly, NPL
223.13, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
-88.442, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-23.511, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-38.064, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
-24.441, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
42.5818, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
10.9232, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
-53.171, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
73.2363, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
67.4187, 2020-2039, inmcm4, Annual Anomaly, NPL
-55.404, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
60.7926, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-162.49, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
-35.322, 2020-2039, miroc5, Annual Anomaly, NPL
-41.237, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-77.868, 2020-2039, miroc_esm, Annual Anomaly, NPL
132.529, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
-56.845, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
83.2837, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
166.815, 2020-2039, noresm1_m, Annual Anomaly, NPL
-295.17, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
-2.1715, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
763.244, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
