Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
61.2617, 2040-2059, access1_0, Annual Anomaly, NPL
90.6304, 2040-2059, access1_3, Annual Anomaly, NPL
1.59319, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
17.4359, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
70.7585, 2040-2059, bnu_esm, Annual Anomaly, NPL
149.629, 2040-2059, canesm2, Annual Anomaly, NPL
103.38, 2040-2059, ccsm4, Annual Anomaly, NPL
279.425, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
166.766, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-75.552, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
-53.321, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
5.86127, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
165.806, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
62.51, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
-9.1266, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
146.01, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
18.1959, 2040-2059, inmcm4, Annual Anomaly, NPL
3.26198, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
106.785, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-122.21, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
-38.651, 2040-2059, miroc5, Annual Anomaly, NPL
13.5554, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
23.9498, 2040-2059, miroc_esm, Annual Anomaly, NPL
201.84, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-31.296, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
127.222, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
180.218, 2040-2059, noresm1_m, Annual Anomaly, NPL
-288.05, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
55.8765, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
840.825, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
