Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
242.35, 2080-2099, access1_0, Annual Anomaly, NPL
468.788, 2080-2099, access1_3, Annual Anomaly, NPL
9.50238, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
145.566, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
102.956, 2080-2099, bnu_esm, Annual Anomaly, NPL
326.574, 2080-2099, canesm2, Annual Anomaly, NPL
409.354, 2080-2099, ccsm4, Annual Anomaly, NPL
586.72, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
374.111, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
8.13186, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
284.537, 2080-2099, cmcc_cm, Annual Anomaly, NPL
25.247, 2080-2099, cmcc_cms, Annual Anomaly, NPL
119.673, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
33.9144, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
270.073, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
369.497, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
344.283, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
209.126, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
56.8638, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
199.88, 2080-2099, hadgem2_es, Annual Anomaly, NPL
54.4962, 2080-2099, inmcm4, Annual Anomaly, NPL
122.815, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
230.227, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-15.183, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
47.9426, 2080-2099, miroc5, Annual Anomaly, NPL
137.22, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
-5.2405, 2080-2099, miroc_esm, Annual Anomaly, NPL
91.3981, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-119.52, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
142.711, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
28.3882, 2080-2099, mri_esm1, Annual Anomaly, NPL
262.355, 2080-2099, noresm1_m, Annual Anomaly, NPL
-190.81, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
167.205, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
1050.41, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
