Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
158.634, 2080-2099, access1_0, Annual Anomaly, NPL
213.145, 2080-2099, access1_3, Annual Anomaly, NPL
110.191, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
132.25, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
139.54, 2080-2099, bnu_esm, Annual Anomaly, NPL
64.5423, 2080-2099, canesm2, Annual Anomaly, NPL
168.155, 2080-2099, ccsm4, Annual Anomaly, NPL
309.034, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
239.121, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-17.019, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-3.7249, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
97.3392, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
127.737, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
98.0058, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
69.1083, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
181.496, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
57.3074, 2080-2099, inmcm4, Annual Anomaly, NPL
95.7917, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
126.799, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-107.79, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-15.131, 2080-2099, miroc5, Annual Anomaly, NPL
38.4859, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
44.5021, 2080-2099, miroc_esm, Annual Anomaly, NPL
54.5408, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-17.828, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
42.8769, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
181.583, 2080-2099, noresm1_m, Annual Anomaly, NPL
-254.62, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
125.59, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
859.123, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
