Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
90.54, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
-20.082, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
59.511, 2020-2039, ccsm4, Annual Anomaly, NPL
-27.728, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-24.313, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
21.522, 2020-2039, gfdl_cm3, Annual Anomaly, NPL
26.5176, 2020-2039, gfdl_esm2g, Annual Anomaly, NPL
104.716, 2020-2039, gfdl_esm2m, Annual Anomaly, NPL
133.035, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
67.3496, 2020-2039, hadgem2_es, Annual Anomaly, NPL
98.8033, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
51.5781, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-10.41, 2020-2039, miroc5, Annual Anomaly, NPL
18.4036, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
-26.996, 2020-2039, miroc_esm, Annual Anomaly, NPL
77.2348, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
119.79, 2020-2039, noresm1_m, Annual Anomaly, NPL
-259.2, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
68.1238, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
848.793, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
