Range between Wettest and Driest Month  - (MM), Year, Model, Statistics, ISO3
49.0412, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
183.308, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
23.3439, 2080-2099, bnu_esm, Annual Anomaly, NPL
179.51, 2080-2099, canesm2, Annual Anomaly, NPL
-3.6913, 2080-2099, ccsm4, Annual Anomaly, NPL
301.865, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-79.752, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
-12.127, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
57.0741, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
185.161, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
90.585, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
84.2337, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
55.4766, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-58.71, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
65.7803, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
68.7226, 2080-2099, miroc5, Annual Anomaly, NPL
100.752, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
58.8139, 2080-2099, miroc_esm, Annual Anomaly, NPL
14.7164, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-119.77, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
40.8351, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
163.434, 2080-2099, noresm1_m, Annual Anomaly, NPL
-265.71, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
59.6776, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
786.68, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
