Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-0.7508, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-0.2773, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.5218, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-0.5469, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-1.4539, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.721, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-0.6383, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-0.9224, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-0.9683, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-0.4339, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.3577, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.9602, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-1.8162, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
-0.1968, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.22216, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.5293, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-0.8574, 2020-2039, bcc_csm1_1, May Anomaly, NPL
-0.7245, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-0.2434, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
-0.3148, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
-1.3085, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.3791, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
-0.2781, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.8581, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-1.296, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.7388, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.5483, 2020-2039, ccsm4, Mar Anomaly, NPL
-0.4366, 2020-2039, ccsm4, Apr Anomaly, NPL
-2.2438, 2020-2039, ccsm4, May Anomaly, NPL
-0.5902, 2020-2039, ccsm4, Jun Anomaly, NPL
-0.1423, 2020-2039, ccsm4, Jul Anomaly, NPL
-0.1274, 2020-2039, ccsm4, Aug Anomaly, NPL
-0.4711, 2020-2039, ccsm4, Sep Anomaly, NPL
-0.3479, 2020-2039, ccsm4, Oct Anomaly, NPL
-1.0825, 2020-2039, ccsm4, Nov Anomaly, NPL
-0.7509, 2020-2039, ccsm4, Dec Anomaly, NPL
-2.27, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
-1.6867, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
-0.6973, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
-0.42, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-1.4942, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.6337, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.1742, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
-0.1159, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-1.0473, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
-0.9307, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
-1.1662, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.8124, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-1.2031, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-1.1033, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.2142, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.6448, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
-0.7933, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-0.703, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-0.3096, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-0.9567, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
-0.8607, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-0.4917, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
-0.577, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-1.2558, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
-2.1338, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
-1.3636, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
-1.0876, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-1.1151, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-2.1014, 2020-2039, gfdl_cm3, May Anomaly, NPL
-2.5683, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-0.7826, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-0.1669, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.7857, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.5174, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.4976, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-1.3822, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-0.0236, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
-0.4631, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
-0.602, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
-0.3839, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
-1.146, 2020-2039, gfdl_esm2g, May Anomaly, NPL
-0.6534, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
-0.2922, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
-0.1296, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-0.6271, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
-0.3983, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
-0.7092, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
-0.3879, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
-0.5177, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
-0.1021, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
-0.6087, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
-0.3949, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
-0.596, 2020-2039, gfdl_esm2m, May Anomaly, NPL
-0.668, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
-0.1292, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
-0.1927, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
-1.0807, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
-0.6893, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-0.6051, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
-0.5677, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
0.00144, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
-0.2536, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
-0.2165, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
-0.106, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
-0.2611, 2020-2039, hadgem2_ao, May Anomaly, NPL
-0.5205, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
-0.0422, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
-0.0872, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
