Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-0.5534, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.5183, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.508, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.4895, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-1.1768, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-1.0559, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.6846, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-0.8736, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-1.1898, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.6323, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.2156, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-1.0584, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-2.4282, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.5595, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.4679, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.4479, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-1.1467, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-0.7771, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-0.3729, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
-0.8603, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
-1.1283, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.6581, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.1997, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.791, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-1.3712, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.5605, 2080-2099, bnu_esm, Feb Anomaly, NPL
-1.2597, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.4472, 2080-2099, bnu_esm, Apr Anomaly, NPL
-0.894, 2080-2099, bnu_esm, May Anomaly, NPL
-0.8276, 2080-2099, bnu_esm, Jun Anomaly, NPL
-0.2709, 2080-2099, bnu_esm, Jul Anomaly, NPL
-0.378, 2080-2099, bnu_esm, Aug Anomaly, NPL
-1.8112, 2080-2099, bnu_esm, Sep Anomaly, NPL
-1.3619, 2080-2099, bnu_esm, Oct Anomaly, NPL
-0.6983, 2080-2099, bnu_esm, Nov Anomaly, NPL
-0.7463, 2080-2099, bnu_esm, Dec Anomaly, NPL
-3.2086, 2080-2099, canesm2, Jan Anomaly, NPL
-2.1943, 2080-2099, canesm2, Feb Anomaly, NPL
-1.461, 2080-2099, canesm2, Mar Anomaly, NPL
-0.3607, 2080-2099, canesm2, Apr Anomaly, NPL
-1.4117, 2080-2099, canesm2, May Anomaly, NPL
-0.905, 2080-2099, canesm2, Jun Anomaly, NPL
-0.0593, 2080-2099, canesm2, Jul Anomaly, NPL
-0.0048, 2080-2099, canesm2, Aug Anomaly, NPL
-0.6073, 2080-2099, canesm2, Sep Anomaly, NPL
-2.1476, 2080-2099, canesm2, Oct Anomaly, NPL
-1.3914, 2080-2099, canesm2, Nov Anomaly, NPL
-2.8814, 2080-2099, canesm2, Dec Anomaly, NPL
-0.6423, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.4031, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.4903, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.3424, 2080-2099, ccsm4, Apr Anomaly, NPL
-1.2935, 2080-2099, ccsm4, May Anomaly, NPL
-0.5626, 2080-2099, ccsm4, Jun Anomaly, NPL
-0.1465, 2080-2099, ccsm4, Jul Anomaly, NPL
-0.1107, 2080-2099, ccsm4, Aug Anomaly, NPL
-0.7672, 2080-2099, ccsm4, Sep Anomaly, NPL
-0.7637, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.433, 2080-2099, ccsm4, Nov Anomaly, NPL
-0.2855, 2080-2099, ccsm4, Dec Anomaly, NPL
-2.2856, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-1.4683, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-0.7691, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.164, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.5324, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.435, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-0.1588, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-0.1273, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-1.1332, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-1.6582, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-1.1179, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-0.9256, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-1.9503, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-1.786, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-0.7901, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
-0.488, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-1.7254, 2080-2099, cnrm_cm5, May Anomaly, NPL
-1.3027, 2080-2099, cnrm_cm5, Jun Anomaly, NPL
-0.137, 2080-2099, cnrm_cm5, Jul Anomaly, NPL
-0.0406, 2080-2099, cnrm_cm5, Aug Anomaly, NPL
-1.1137, 2080-2099, cnrm_cm5, Sep Anomaly, NPL
-1.2883, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-1.0812, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
-1.6947, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
-2.3881, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-2.0312, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-0.7881, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-1.0147, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-1.5193, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-1.4139, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-0.6783, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-1.2879, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
-1.9371, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
-1.4076, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-0.7402, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-2.079, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-4.1388, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-2.4604, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-1.634, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-1.4035, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-2.719, 2080-2099, gfdl_cm3, May Anomaly, NPL
-3.3399, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
-0.7938, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
-0.1841, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
-2.1013, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
-3.6002, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-1.7302, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-3.3575, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-0.0042, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-0.2413, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
-0.8109, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-0.2087, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-0.7829, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-0.392, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
-0.2633, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-0.0781, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-0.5876, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-0.127, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
-0.8352, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
-0.4103, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
-0.7395, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
0.08112, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
-0.3866, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-0.2407, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-0.783, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-1.1741, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-0.297, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-0.0823, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-0.5376, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-0.6716, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
-0.1629, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
0.05274, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
-0.3277, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-0.647, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-0.4379, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-0.4569, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-1.2878, 2080-2099, hadgem2_ao, May Anomaly, NPL
-0.6812, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
-0.1008, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
-0.1056, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
-1.2753, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
-0.2851, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-0.5926, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
-0.8816, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-0.9893, 2080-2099, hadgem2_es, Jan Anomaly, NPL
-1.0858, 2080-2099, hadgem2_es, Feb Anomaly, NPL
-0.3133, 2080-2099, hadgem2_es, Mar Anomaly, NPL
-0.4589, 2080-2099, hadgem2_es, Apr Anomaly, NPL
-0.9857, 2080-2099, hadgem2_es, May Anomaly, NPL
-0.7338, 2080-2099, hadgem2_es, Jun Anomaly, NPL
-0.2637, 2080-2099, hadgem2_es, Jul Anomaly, NPL
-0.2612, 2080-2099, hadgem2_es, Aug Anomaly, NPL
-1.3552, 2080-2099, hadgem2_es, Sep Anomaly, NPL
-0.4629, 2080-2099, hadgem2_es, Oct Anomaly, NPL
-0.5623, 2080-2099, hadgem2_es, Nov Anomaly, NPL
-0.3349, 2080-2099, hadgem2_es, Dec Anomaly, NPL
-1.3638, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
-1.4884, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
-0.8474, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.5165, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
-1.1817, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
-1.9955, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
-0.762, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.0207, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
-1.3046, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.6861, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.7516, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
-0.9784, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
-1.2399, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
-1.1182, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.8262, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
-0.4837, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
-1.1146, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
-2.387, 2080-2099, ipsl_cm5a_mr, Jun Anomaly, NPL
-0.8282, 2080-2099, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.1299, 2080-2099, ipsl_cm5a_mr, Aug Anomaly, NPL
-0.8742, 2080-2099, ipsl_cm5a_mr, Sep Anomaly, NPL
-1.0257, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.4144, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
-1.0634, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
-1.107, 2080-2099, miroc5, Jan Anomaly, NPL
-0.6578, 2080-2099, miroc5, Feb Anomaly, NPL
-0.5723, 2080-2099, miroc5, Mar Anomaly, NPL
-0.4038, 2080-2099, miroc5, Apr Anomaly, NPL
-1.9238, 2080-2099, miroc5, May Anomaly, NPL
-2.633, 2080-2099, miroc5, Jun Anomaly, NPL
-1.0448, 2080-2099, miroc5, Jul Anomaly, NPL
-0.8178, 2080-2099, miroc5, Aug Anomaly, NPL
-1.7984, 2080-2099, miroc5, Sep Anomaly, NPL
-1.7581, 2080-2099, miroc5, Oct Anomaly, NPL
-0.2108, 2080-2099, miroc5, Nov Anomaly, NPL
-1.1403, 2080-2099, miroc5, Dec Anomaly, NPL
-4.3873, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
-2.1303, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
-1.0916, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
-0.8139, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
-2.1769, 2080-2099, miroc_esm_chem, May Anomaly, NPL
-1.8713, 2080-2099, miroc_esm_chem, Jun Anomaly, NPL
-0.5668, 2080-2099, miroc_esm_chem, Jul Anomaly, NPL
-0.2655, 2080-2099, miroc_esm_chem, Aug Anomaly, NPL
-1.4907, 2080-2099, miroc_esm_chem, Sep Anomaly, NPL
-2.1396, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
-0.5887, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
-2.0847, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
-2.8064, 2080-2099, miroc_esm, Jan Anomaly, NPL
-1.8287, 2080-2099, miroc_esm, Feb Anomaly, NPL
-1.0917, 2080-2099, miroc_esm, Mar Anomaly, NPL
-0.7619, 2080-2099, miroc_esm, Apr Anomaly, NPL
-1.6785, 2080-2099, miroc_esm, May Anomaly, NPL
-2.0972, 2080-2099, miroc_esm, Jun Anomaly, NPL
-0.7285, 2080-2099, miroc_esm, Jul Anomaly, NPL
-0.631, 2080-2099, miroc_esm, Aug Anomaly, NPL
-1.7423, 2080-2099, miroc_esm, Sep Anomaly, NPL
-1.7473, 2080-2099, miroc_esm, Oct Anomaly, NPL
-0.6367, 2080-2099, miroc_esm, Nov Anomaly, NPL
-2.0229, 2080-2099, miroc_esm, Dec Anomaly, NPL
-1.3174, 2080-2099, mpi_esm_lr, Jan Anomaly, NPL
-1.1108, 2080-2099, mpi_esm_lr, Feb Anomaly, NPL
-0.8461, 2080-2099, mpi_esm_lr, Mar Anomaly, NPL
-0.5017, 2080-2099, mpi_esm_lr, Apr Anomaly, NPL
-0.6042, 2080-2099, mpi_esm_lr, May Anomaly, NPL
-0.2369, 2080-2099, mpi_esm_lr, Jun Anomaly, NPL
-0.1423, 2080-2099, mpi_esm_lr, Jul Anomaly, NPL
-0.2863, 2080-2099, mpi_esm_lr, Aug Anomaly, NPL
-1.0352, 2080-2099, mpi_esm_lr, Sep Anomaly, NPL
0.01356, 2080-2099, mpi_esm_lr, Oct Anomaly, NPL
-0.4861, 2080-2099, mpi_esm_lr, Nov Anomaly, NPL
-1.1346, 2080-2099, mpi_esm_lr, Dec Anomaly, NPL
-0.2988, 2080-2099, mpi_esm_mr, Jan Anomaly, NPL
-1.0721, 2080-2099, mpi_esm_mr, Feb Anomaly, NPL
-0.9372, 2080-2099, mpi_esm_mr, Mar Anomaly, NPL
-0.4448, 2080-2099, mpi_esm_mr, Apr Anomaly, NPL
-0.2692, 2080-2099, mpi_esm_mr, May Anomaly, NPL
-0.347, 2080-2099, mpi_esm_mr, Jun Anomaly, NPL
-0.1985, 2080-2099, mpi_esm_mr, Jul Anomaly, NPL
-0.3485, 2080-2099, mpi_esm_mr, Aug Anomaly, NPL
-0.8921, 2080-2099, mpi_esm_mr, Sep Anomaly, NPL
-0.4616, 2080-2099, mpi_esm_mr, Oct Anomaly, NPL
-0.3083, 2080-2099, mpi_esm_mr, Nov Anomaly, NPL
-0.0063, 2080-2099, mpi_esm_mr, Dec Anomaly, NPL
-1.1241, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
-0.8983, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
-0.8066, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
-0.3302, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
-1.1563, 2080-2099, mri_cgcm3, May Anomaly, NPL
-1.121, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
-0.1011, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
-0.1602, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
-1.0635, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
-0.2529, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
-0.5161, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
-1.4295, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
-1.8158, 2080-2099, noresm1_m, Jan Anomaly, NPL
-0.7398, 2080-2099, noresm1_m, Feb Anomaly, NPL
-0.7446, 2080-2099, noresm1_m, Mar Anomaly, NPL
-0.2023, 2080-2099, noresm1_m, Apr Anomaly, NPL
-1.8446, 2080-2099, noresm1_m, May Anomaly, NPL
-0.9669, 2080-2099, noresm1_m, Jun Anomaly, NPL
-0.0902, 2080-2099, noresm1_m, Jul Anomaly, NPL
-0.0997, 2080-2099, noresm1_m, Aug Anomaly, NPL
-0.8286, 2080-2099, noresm1_m, Sep Anomaly, NPL
-0.7503, 2080-2099, noresm1_m, Oct Anomaly, NPL
-0.8485, 2080-2099, noresm1_m, Nov Anomaly, NPL
-0.8669, 2080-2099, noresm1_m, Dec Anomaly, NPL
-3.4602, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
