Number of Frost Days (Tmin < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.3015, 2060-2079, access1_0, Jan Anomaly, NPL
-2.1207, 2060-2079, access1_0, Feb Anomaly, NPL
-1.1547, 2060-2079, access1_0, Mar Anomaly, NPL
-2.1524, 2060-2079, access1_0, Apr Anomaly, NPL
-3.7721, 2060-2079, access1_0, May Anomaly, NPL
-1.9907, 2060-2079, access1_0, Jun Anomaly, NPL
-0.3782, 2060-2079, access1_0, Jul Anomaly, NPL
-0.4656, 2060-2079, access1_0, Aug Anomaly, NPL
-3.0347, 2060-2079, access1_0, Sep Anomaly, NPL
-1.1695, 2060-2079, access1_0, Oct Anomaly, NPL
-0.769, 2060-2079, access1_0, Nov Anomaly, NPL
-1.1166, 2060-2079, access1_0, Dec Anomaly, NPL
-2.4282, 2060-2079, access1_3, Jan Anomaly, NPL
-2.0102, 2060-2079, access1_3, Feb Anomaly, NPL
-0.6415, 2060-2079, access1_3, Mar Anomaly, NPL
-0.5316, 2060-2079, access1_3, Apr Anomaly, NPL
-3.201, 2060-2079, access1_3, May Anomaly, NPL
-3.4363, 2060-2079, access1_3, Jun Anomaly, NPL
-1.7515, 2060-2079, access1_3, Jul Anomaly, NPL
-1.2663, 2060-2079, access1_3, Aug Anomaly, NPL
-3.1451, 2060-2079, access1_3, Sep Anomaly, NPL
-1.0672, 2060-2079, access1_3, Oct Anomaly, NPL
-0.9338, 2060-2079, access1_3, Nov Anomaly, NPL
-2.745, 2060-2079, access1_3, Dec Anomaly, NPL
-2.8527, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.7079, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.0015, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-1.6294, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-3.6907, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-2.2879, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-1.3983, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-2.0104, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-3.6681, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-2.4578, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.5432, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-2.1903, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-5.4254, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-2.0625, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-1.1361, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-1.406, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-3.1547, 2060-2079, bcc_csm1_1, May Anomaly, NPL
-2.1085, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.6885, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
-1.7014, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
-3.8751, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-2.6192, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-1.0351, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-3.1184, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-2.845, 2060-2079, bnu_esm, Jan Anomaly, NPL
-2.454, 2060-2079, bnu_esm, Feb Anomaly, NPL
-2.2446, 2060-2079, bnu_esm, Mar Anomaly, NPL
-1.18, 2060-2079, bnu_esm, Apr Anomaly, NPL
-3.3967, 2060-2079, bnu_esm, May Anomaly, NPL
-2.5345, 2060-2079, bnu_esm, Jun Anomaly, NPL
-0.51, 2060-2079, bnu_esm, Jul Anomaly, NPL
-0.553, 2060-2079, bnu_esm, Aug Anomaly, NPL
-2.984, 2060-2079, bnu_esm, Sep Anomaly, NPL
-3.3342, 2060-2079, bnu_esm, Oct Anomaly, NPL
-1.145, 2060-2079, bnu_esm, Nov Anomaly, NPL
-2.8262, 2060-2079, bnu_esm, Dec Anomaly, NPL
-6.2177, 2060-2079, canesm2, Jan Anomaly, NPL
-4.6353, 2060-2079, canesm2, Feb Anomaly, NPL
-2.9359, 2060-2079, canesm2, Mar Anomaly, NPL
-2.6007, 2060-2079, canesm2, Apr Anomaly, NPL
-4.3202, 2060-2079, canesm2, May Anomaly, NPL
-1.4952, 2060-2079, canesm2, Jun Anomaly, NPL
-0.0794, 2060-2079, canesm2, Jul Anomaly, NPL
-0.0157, 2060-2079, canesm2, Aug Anomaly, NPL
-0.7359, 2060-2079, canesm2, Sep Anomaly, NPL
-4.6467, 2060-2079, canesm2, Oct Anomaly, NPL
-2.4398, 2060-2079, canesm2, Nov Anomaly, NPL
-5.1321, 2060-2079, canesm2, Dec Anomaly, NPL
-2.742, 2060-2079, ccsm4, Jan Anomaly, NPL
-2.2751, 2060-2079, ccsm4, Feb Anomaly, NPL
-1.3257, 2060-2079, ccsm4, Mar Anomaly, NPL
-1.7144, 2060-2079, ccsm4, Apr Anomaly, NPL
