Basin,No in 2000,Area(km2) in 2000,No in 2015,Area(km2) in 2015,Difference in no,Difference in Area(km2)
Koshi,771,106.64,825,120.97,69,14.85
Gandaki,140,13.97,171,16.73,31,2.76
Karnali,381,32.67,414,37.18,38,4.8
