 Lake ID/Name  , Valley ,Description
kotam_gl_0135/ Nagma Pokhari,Tamor ,"Outburst in 1980. Confined outflow through the moraine and debris for almost 1,700 m, and only then does the water drop at a steep slope. No further GLOF is expected"
kodud_gl_0193/ Tam ,Dudh Koshi     ,"Outburst in 1998. Presence of a confined channel wider than 45 m. Water flows through the moraine and debris for almost 1,450 m, and only thenflows into the river valley. No further GLOF is expected"
gakal_gl_0002   ,Kaligandaki,"Blocked by debris, possibly from an earlier landslide. Wide and confined lake outlet present at the side of the dam. No further GLOF is expected"
koaru_gl_0012/ Barun Pokhari,Arun,"Evidence of a GLOF in the past. The river valley is full of alluvial fan with  gentle slope for about 300 m. No damming, compact debris downstream.Little chance of huge ice avalanches to create a GLOF"
gabud_gl_0009/ Birendratal,Budhigandaki,"The lake is in contact with a retreating glacier. Compact debris downstream, in contact with the retreating glacier. In case of a glacier topple, there’s only the possibility of an overflow of splashing water. No GLOF is expected"
koaru_gl_0016,Arun ,"No damming glacial, erosional land feature; compact debris downstream;fed by lake at the glacier snout; dam length of about 1,500 m, then landslide and steep slope. No GLOF is expected"
gakal_gl_0008, Kaligandaki,"On medial moraine, old and compact moraine; confined surface flow. Distance to its source glacier is about 1 km; no chances of an ice fall, landslide or any other means for the moraine to break"
gakal_gl_0022 , Kaligandaki," Lake has been formed in the river valley with a clear outlet; no chance of an ice fall, landslide or any other triggers for a GLOF"
