Country,Basins               ,Lake inventory Level 0 ,Lake size and type Level 1,Characteristics of the dams Level 2  ,Source glaciers and surrounding features Level 3 ,PDGLs  Level 4
Nepal ,Koshi,834,199,91,19,18
Nepal ,Gandaki,255,65,18,2,2
Nepal ,Karnali,981,241,39,1,1
China,Koshi,1230,308,123,28,24
China,Gandaki,177,52,17,1,1
China,Karnali,102,22,3,0,0
India,Koshi,0,0,0,0,0
India,Gandaki,0,0,0,0,0
India,Karnali,45,8,4,1,1
