Basins,Sub-basins,Glacier no,Glacier %,Glacier area km2,Glacier area %,Glacier area Average (km2)
Koshi,Tamor,283,7.81,9.12,4.68,0.03
Koshi,Arun,909,25.08,68.58,35.15,0.08
Koshi,Dudh Koshi,355,9.8,16.92,8.67,0.05
Koshi,Likhu,17,0.47,0.41,0.21,0.02
Koshi,Tama Koshi,307,8.47,14.68,7.52,0.05
Koshi,Sun Koshi,181,4.99,22.13,11.34,0.12
Koshi,Indrawati,12,0.33,0.16,0.08,0.01
Gandaki,Trishuli,242,6.68,8.19,4.2,0.03
Gandaki,Budhi Gandaki,49,1.35,1.58,0.81,0.03
Gandaki,Marsyangdi,59,1.63,6.22,3.19,0.11
Gandaki,Seti,4,0.11,0.15,0.08,0.04
Gandaki,Kali Gandaki,78,2.15,3.05,1.56,0.04
Karnali,Bheri,164,4.53,9.2,4.72,0.06
Karnali,Tila,82,2.26,4.11,2.11,0.05
Karnali,Mugu,239,6.59,6.22,3.19,0.03
Karnali,Kawari,28,0.77,1.04,0.53,0.04
Karnali,West Seti,51,1.41,1.43,0.73,0.03
Karnali,Humla,498,13.74,20.21,10.36,0.04
Karnali,Kali,63,1.74,1.53,0.78,0.02
Karnali,Karnali,3,0.08,0.19,0.1,0.06
