Basins,Number in 2000,"Area
(km2) in 2000",Number in 2005,"Area
(km2) in 2004",Number in 2015,"Area
(km2) in 2015",Difference in Number (2000-2015)                %,Difference in % (2000-2015)   ,"Difference in Area(2000-2015)

(km2)"
Koshi,2119,118.42,2087,123.1,2064,132.27,-55,-2.6,13.9
Gandaki,377,17.76,405,17.75,432,19.19,55,14.59,1.4
Karnali,1105,43.38,1204,45.6,1128,43.93,23,2.08,0.6
