Temperature(Celsius), Year,Month Statistics,  Country,ISO3
5.8, 1933, Feb Average, Nepal, NPL
10.3, 1933, Mar Average, Nepal, NPL
12.4, 1933, Apr Average, Nepal, NPL
15.1, 1933, May Average, Nepal, NPL
18.0, 1933, Jun Average, Nepal, NPL
18.4, 1933, Jul Average, Nepal, NPL
18.0, 1933, Aug Average, Nepal, NPL
16.8, 1933, Sep Average, Nepal, NPL
13.0, 1933, Oct Average, Nepal, NPL
8.2, 1933, Nov Average, Nepal, NPL
5.4, 1933, Dec Average, Nepal, NPL
3.3, 1934, Jan Average, Nepal, NPL
5.8, 1934, Feb Average, Nepal, NPL
9.3, 1934, Mar Average, Nepal, NPL
14.3, 1934, Apr Average, Nepal, NPL
16.9, 1934, May Average, Nepal, NPL
18.3, 1934, Jun Average, Nepal, NPL
18.6, 1934, Jul Average, Nepal, NPL
18.2, 1934, Aug Average, Nepal, NPL
17.5, 1934, Sep Average, Nepal, NPL
12.6, 1934, Oct Average, Nepal, NPL
8.0, 1934, Nov Average, Nepal, NPL
5.3, 1934, Dec Average, Nepal, NPL
2.9, 1935, Jan Average, Nepal, NPL
5.7, 1935, Feb Average, Nepal, NPL
10.2, 1935, Mar Average, Nepal, NPL
12.2, 1935, Apr Average, Nepal, NPL
18.0, 1935, May Average, Nepal, NPL
20.0, 1935, Jun Average, Nepal, NPL
18.9, 1935, Jul Average, Nepal, NPL
17.9, 1935, Aug Average, Nepal, NPL
17.1, 1935, Sep Average, Nepal, NPL
13.1, 1935, Oct Average, Nepal, NPL
8.8, 1935, Nov Average, Nepal, NPL
4.9, 1935, Dec Average, Nepal, NPL
3.1, 1936, Jan Average, Nepal, NPL
5.0, 1936, Feb Average, Nepal, NPL
10.0, 1936, Mar Average, Nepal, NPL
13.9, 1936, Apr Average, Nepal, NPL
17.7, 1936, May Average, Nepal, NPL
17.0, 1936, Jun Average, Nepal, NPL
18.2, 1936, Jul Average, Nepal, NPL
18.4, 1936, Aug Average, Nepal, NPL
16.9, 1936, Sep Average, Nepal, NPL
12.9, 1936, Oct Average, Nepal, NPL
8.8, 1936, Nov Average, Nepal, NPL
5.0, 1936, Dec Average, Nepal, NPL
3.2, 1937, Jan Average, Nepal, NPL
5.2, 1937, Feb Average, Nepal, NPL
9.0, 1937, Mar Average, Nepal, NPL
13.2, 1937, Apr Average, Nepal, NPL
16.7, 1937, May Average, Nepal, NPL
19.1, 1937, Jun Average, Nepal, NPL
19.2, 1937, Jul Average, Nepal, NPL
18.5, 1937, Aug Average, Nepal, NPL
17.5, 1937, Sep Average, Nepal, NPL
12.8, 1937, Oct Average, Nepal, NPL
8.3, 1937, Nov Average, Nepal, NPL
4.7, 1937, Dec Average, Nepal, NPL
4.2, 1938, Jan Average, Nepal, NPL
3.8, 1938, Feb Average, Nepal, NPL
11.3, 1938, Mar Average, Nepal, NPL
15.3, 1938, Apr Average, Nepal, NPL
17.5, 1938, May Average, Nepal, NPL
17.4, 1938, Jun Average, Nepal, NPL
18.6, 1938, Jul Average, Nepal, NPL
18.8, 1938, Aug Average, Nepal, NPL
18.1, 1938, Sep Average, Nepal, NPL
13.9, 1938, Oct Average, Nepal, NPL
7.4, 1938, Nov Average, Nepal, NPL
5.1, 1938, Dec Average, Nepal, NPL
4.8, 1939, Jan Average, Nepal, NPL
5.6, 1939, Feb Average, Nepal, NPL
8.4, 1939, Mar Average, Nepal, NPL
13.8, 1939, Apr Average, Nepal, NPL
18.1, 1939, May Average, Nepal, NPL
18.1, 1939, Jun Average, Nepal, NPL
18.6, 1939, Jul Average, Nepal, NPL
18.8, 1939, Aug Average, Nepal, NPL
17.1, 1939, Sep Average, Nepal, NPL
13.7, 1939, Oct Average, Nepal, NPL
8.3, 1939, Nov Average, Nepal, NPL
5.5, 1939, Dec Average, Nepal, NPL
4.0, 1940, Jan Average, Nepal, NPL
5.0, 1940, Feb Average, Nepal, NPL
8.1, 1940, Mar Average, Nepal, NPL
13.4, 1940, Apr Average, Nepal, NPL
17.4, 1940, May Average, Nepal, NPL
19.4, 1940, Jun Average, Nepal, NPL
19.1, 1940, Jul Average, Nepal, NPL
18.5, 1940, Aug Average, Nepal, NPL
17.0, 1940, Sep Average, Nepal, NPL
13.6, 1940, Oct Average, Nepal, NPL
9.4, 1940, Nov Average, Nepal, NPL
5.1, 1940, Dec Average, Nepal, NPL
3.8, 1941, Jan Average, Nepal, NPL
6.0, 1941, Feb Average, Nepal, NPL
11.8, 1941, Mar Average, Nepal, NPL
15.8, 1941, Apr Average, Nepal, NPL
17.8, 1941, May Average, Nepal, NPL
17.9, 1941, Jun Average, Nepal, NPL
19.7, 1941, Jul Average, Nepal, NPL
19.0, 1941, Aug Average, Nepal, NPL
17.6, 1941, Sep Average, Nepal, NPL
14.4, 1941, Oct Average, Nepal, NPL
8.7, 1941, Nov Average, Nepal, NPL
6.5, 1941, Dec Average, Nepal, NPL
3.6, 1942, Jan Average, Nepal, NPL
5.9, 1942, Feb Average, Nepal, NPL
11.1, 1942, Mar Average, Nepal, NPL
14.8, 1942, Apr Average, Nepal, NPL
18.0, 1942, May Average, Nepal, NPL
20.1, 1942, Jun Average, Nepal, NPL
18.7, 1942, Jul Average, Nepal, NPL
18.2, 1942, Aug Average, Nepal, NPL
16.7, 1942, Sep Average, Nepal, NPL
13.6, 1942, Oct Average, Nepal, NPL
9.6, 1942, Nov Average, Nepal, NPL
5.0, 1942, Dec Average, Nepal, NPL
5.0, 1943, Jan Average, Nepal, NPL
5.1, 1943, Feb Average, Nepal, NPL
10.4, 1943, Mar Average, Nepal, NPL
12.7, 1943, Apr Average, Nepal, NPL
17.5, 1943, May Average, Nepal, NPL
18.8, 1943, Jun Average, Nepal, NPL
18.7, 1943, Jul Average, Nepal, NPL
18.1, 1943, Aug Average, Nepal, NPL
17.7, 1943, Sep Average, Nepal, NPL
13.6, 1943, Oct Average, Nepal, NPL
9.8, 1943, Nov Average, Nepal, NPL
6.2, 1943, Dec Average, Nepal, NPL
3.7, 1944, Jan Average, Nepal, NPL
4.9, 1944, Feb Average, Nepal, NPL
9.2, 1944, Mar Average, Nepal, NPL
12.9, 1944, Apr Average, Nepal, NPL
18.5, 1944, May Average, Nepal, NPL
19.0, 1944, Jun Average, Nepal, NPL
18.8, 1944, Jul Average, Nepal, NPL
18.8, 1944, Aug Average, Nepal, NPL
17.4, 1944, Sep Average, Nepal, NPL
13.3, 1944, Oct Average, Nepal, NPL
9.1, 1944, Nov Average, Nepal, NPL
6.7, 1944, Dec Average, Nepal, NPL
3.0, 1945, Jan Average, Nepal, NPL
4.4, 1945, Feb Average, Nepal, NPL
10.7, 1945, Mar Average, Nepal, NPL
13.2, 1945, Apr Average, Nepal, NPL
16.8, 1945, May Average, Nepal, NPL
19.5, 1945, Jun Average, Nepal, NPL
19.2, 1945, Jul Average, Nepal, NPL
19.0, 1945, Aug Average, Nepal, NPL
17.4, 1945, Sep Average, Nepal, NPL
12.8, 1945, Oct Average, Nepal, NPL
8.5, 1945, Nov Average, Nepal, NPL
4.3, 1945, Dec Average, Nepal, NPL
5.0, 1946, Jan Average, Nepal, NPL
7.2, 1946, Feb Average, Nepal, NPL
10.0, 1946, Mar Average, Nepal, NPL
14.0, 1946, Apr Average, Nepal, NPL
16.7, 1946, May Average, Nepal, NPL
18.4, 1946, Jun Average, Nepal, NPL
18.5, 1946, Jul Average, Nepal, NPL
19.0, 1946, Aug Average, Nepal, NPL
17.7, 1946, Sep Average, Nepal, NPL
13.5, 1946, Oct Average, Nepal, NPL
8.9, 1946, Nov Average, Nepal, NPL
5.9, 1946, Dec Average, Nepal, NPL
3.6, 1947, Jan Average, Nepal, NPL
5.8, 1947, Feb Average, Nepal, NPL
10.8, 1947, Mar Average, Nepal, NPL
15.5, 1947, Apr Average, Nepal, NPL
17.7, 1947, May Average, Nepal, NPL
20.1, 1947, Jun Average, Nepal, NPL
19.1, 1947, Jul Average, Nepal, NPL
18.9, 1947, Aug Average, Nepal, NPL
17.4, 1947, Sep Average, Nepal, NPL
12.9, 1947, Oct Average, Nepal, NPL
9.3, 1947, Nov Average, Nepal, NPL
6.0, 1947, Dec Average, Nepal, NPL
4.4, 1948, Jan Average, Nepal, NPL
5.3, 1948, Feb Average, Nepal, NPL
9.2, 1948, Mar Average, Nepal, NPL
15.3, 1948, Apr Average, Nepal, NPL
17.6, 1948, May Average, Nepal, NPL
19.8, 1948, Jun Average, Nepal, NPL
18.7, 1948, Jul Average, Nepal, NPL
18.3, 1948, Aug Average, Nepal, NPL
17.3, 1948, Sep Average, Nepal, NPL
13.5, 1948, Oct Average, Nepal, NPL
8.5, 1948, Nov Average, Nepal, NPL
5.0, 1948, Dec Average, Nepal, NPL
5.4, 1949, Jan Average, Nepal, NPL
5.4, 1949, Feb Average, Nepal, NPL
10.4, 1949, Mar Average, Nepal, NPL
14.1, 1949, Apr Average, Nepal, NPL
16.8, 1949, May Average, Nepal, NPL
19.4, 1949, Jun Average, Nepal, NPL
18.8, 1949, Jul Average, Nepal, NPL
18.6, 1949, Aug Average, Nepal, NPL
17.6, 1949, Sep Average, Nepal, NPL
13.8, 1949, Oct Average, Nepal, NPL
7.6, 1949, Nov Average, Nepal, NPL
4.2, 1949, Dec Average, Nepal, NPL
4.9, 1950, Jan Average, Nepal, NPL
4.6, 1950, Feb Average, Nepal, NPL
9.0, 1950, Mar Average, Nepal, NPL
13.7, 1950, Apr Average, Nepal, NPL
17.5, 1950, May Average, Nepal, NPL
18.7, 1950, Jun Average, Nepal, NPL
18.6, 1950, Jul Average, Nepal, NPL
18.1, 1950, Aug Average, Nepal, NPL
16.9, 1950, Sep Average, Nepal, NPL
13.1, 1950, Oct Average, Nepal, NPL
8.1, 1950, Nov Average, Nepal, NPL
4.9, 1950, Dec Average, Nepal, NPL
3.4, 1951, Jan Average, Nepal, NPL
5.5, 1951, Feb Average, Nepal, NPL
10.1, 1951, Mar Average, Nepal, NPL
13.0, 1951, Apr Average, Nepal, NPL
17.2, 1951, May Average, Nepal, NPL
19.1, 1951, Jun Average, Nepal, NPL
19.3, 1951, Jul Average, Nepal, NPL
19.0, 1951, Aug Average, Nepal, NPL
17.4, 1951, Sep Average, Nepal, NPL
15.2, 1951, Oct Average, Nepal, NPL
