Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.26226, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.54688, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
2.80621, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
4.04029, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.60752, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.0236, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
2.77097, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.64834, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.54049, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.92399, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.57992, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
2.29024, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
3.2607, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
1.01978, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
2.52864, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
2.33667, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
2.37177, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.4416, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
2.24543, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.925, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.40035, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.73422, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
2.32474, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
1.96651, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
1.70326, 2060-2079, ccsm4, Jan Anomaly, NPL
2.12232, 2060-2079, ccsm4, Feb Anomaly, NPL
3.30398, 2060-2079, ccsm4, Mar Anomaly, NPL
3.22722, 2060-2079, ccsm4, Apr Anomaly, NPL
2.92212, 2060-2079, ccsm4, May Anomaly, NPL
2.40628, 2060-2079, ccsm4, Jun Anomaly, NPL
1.97604, 2060-2079, ccsm4, Jul Anomaly, NPL
1.53339, 2060-2079, ccsm4, Aug Anomaly, NPL
1.364, 2060-2079, ccsm4, Sep Anomaly, NPL
1.71556, 2060-2079, ccsm4, Oct Anomaly, NPL
0.81038, 2060-2079, ccsm4, Nov Anomaly, NPL
1.09531, 2060-2079, ccsm4, Dec Anomaly, NPL
1.87076, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
2.62681, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
2.33176, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.25256, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
2.51578, 2060-2079, cesm1_cam5, May Anomaly, NPL
3.14235, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
2.54862, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
2.7645, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
2.51278, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
2.22751, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
1.85385, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.75321, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
2.8758, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
2.52869, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
2.28373, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
2.27848, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
2.29569, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
2.37217, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
2.98991, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
1.85902, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
0.96263, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
0.99926, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
1.94854, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
2.90461, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
3.91407, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
3.03874, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
2.88864, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
3.08951, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
3.76033, 2060-2079, gfdl_cm3, May Anomaly, NPL
3.74742, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
3.04775, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
3.28335, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
2.91783, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
2.93, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
3.04054, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
4.48462, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
2.13247, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
2.40171, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
1.7239, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
1.88084, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
1.77575, 2060-2079, gfdl_esm2g, May Anomaly, NPL
2.76563, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
1.85184, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
1.86593, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
1.79393, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
1.73393, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
1.96051, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
1.61259, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
1.9131, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
1.13604, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
2.19683, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
1.82799, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
2.79529, 2060-2079, gfdl_esm2m, May Anomaly, NPL
3.38088, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
2.76401, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
2.8848, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
2.43848, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
1.94048, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
1.70047, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
1.64059, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
2.31513, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
2.09923, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
2.9897, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
2.20184, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
1.89901, 2060-2079, hadgem2_ao, May Anomaly, NPL
2.01968, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
1.11654, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
1.46327, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
1.49698, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
2.14224, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
2.55833, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
3.21889, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
3.3127, 2060-2079, hadgem2_es, Jan Anomaly, NPL
3.53861, 2060-2079, hadgem2_es, Feb Anomaly, NPL
2.7899, 2060-2079, hadgem2_es, Mar Anomaly, NPL
2.6491, 2060-2079, hadgem2_es, Apr Anomaly, NPL
2.38378, 2060-2079, hadgem2_es, May Anomaly, NPL
3.39312, 2060-2079, hadgem2_es, Jun Anomaly, NPL
2.5888, 2060-2079, hadgem2_es, Jul Anomaly, NPL
2.48914, 2060-2079, hadgem2_es, Aug Anomaly, NPL
2.7845, 2060-2079, hadgem2_es, Sep Anomaly, NPL
2.66614, 2060-2079, hadgem2_es, Oct Anomaly, NPL
3.30833, 2060-2079, hadgem2_es, Nov Anomaly, NPL
2.20334, 2060-2079, hadgem2_es, Dec Anomaly, NPL
3.30444, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
3.09708, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
3.91589, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
4.38878, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
3.02938, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
2.1086, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
2.45007, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
2.0752, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
2.73732, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
2.05032, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
3.86514, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
3.25434, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
1.89135, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
3.41725, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
3.24959, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
3.56109, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
2.28427, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
1.89512, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
1.88347, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
2.33609, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
2.55282, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
2.64924, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
3.00403, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
2.29832, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
2.86718, 2060-2079, miroc5, Jan Anomaly, NPL
3.00761, 2060-2079, miroc5, Feb Anomaly, NPL
3.00006, 2060-2079, miroc5, Mar Anomaly, NPL
2.81099, 2060-2079, miroc5, Apr Anomaly, NPL
3.0354, 2060-2079, miroc5, May Anomaly, NPL
3.17919, 2060-2079, miroc5, Jun Anomaly, NPL
0.23894, 2060-2079, miroc5, Jul Anomaly, NPL
1.68802, 2060-2079, miroc5, Aug Anomaly, NPL
0.99189, 2060-2079, miroc5, Sep Anomaly, NPL
1.4658, 2060-2079, miroc5, Oct Anomaly, NPL
