Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.31764, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
2.31079, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
3.36806, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
4.47471, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
3.37695, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.81646, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
4.41431, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
3.54089, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
2.5546, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.52993, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.00822, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
2.23169, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
3.4096, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
2.48328, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
3.16875, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
3.4386, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
3.13167, 2080-2099, bcc_csm1_1, May Anomaly, NPL
2.90645, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
3.08999, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
2.34926, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
2.68155, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
3.18864, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
2.52842, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
2.06627, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
2.03551, 2080-2099, ccsm4, Jan Anomaly, NPL
1.92197, 2080-2099, ccsm4, Feb Anomaly, NPL
3.24539, 2080-2099, ccsm4, Mar Anomaly, NPL
3.3483, 2080-2099, ccsm4, Apr Anomaly, NPL
3.15868, 2080-2099, ccsm4, May Anomaly, NPL
3.64254, 2080-2099, ccsm4, Jun Anomaly, NPL
3.04291, 2080-2099, ccsm4, Jul Anomaly, NPL
2.72403, 2080-2099, ccsm4, Aug Anomaly, NPL
2.16631, 2080-2099, ccsm4, Sep Anomaly, NPL
2.67745, 2080-2099, ccsm4, Oct Anomaly, NPL
1.7084, 2080-2099, ccsm4, Nov Anomaly, NPL
1.08744, 2080-2099, ccsm4, Dec Anomaly, NPL
2.7852, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
3.89399, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
2.83874, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
2.2978, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
2.93059, 2080-2099, cesm1_cam5, May Anomaly, NPL
3.62431, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
3.94012, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
3.46982, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
3.83863, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
3.28916, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
3.11892, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
1.92568, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
3.61268, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
3.43786, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
2.90315, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
3.26858, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
2.98712, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
3.17925, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
4.67991, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
3.15451, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
2.32142, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
1.7319, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
2.80272, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
3.66651, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
5.52217, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
5.93304, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
4.00142, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
4.56711, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
4.80276, 2080-2099, gfdl_cm3, May Anomaly, NPL
4.29888, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
2.78735, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
4.13338, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
3.73229, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
3.72628, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
4.81373, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
4.91198, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
2.4024, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
2.27348, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
2.72778, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
2.69636, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
1.90171, 2080-2099, gfdl_esm2g, May Anomaly, NPL
3.31143, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
2.06429, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
3.03735, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
2.49122, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
2.76429, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
2.49843, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
2.18551, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
1.95836, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
2.41006, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
3.77597, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
2.49247, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
3.30864, 2080-2099, gfdl_esm2m, May Anomaly, NPL
3.40725, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
2.39088, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
2.92279, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
2.75631, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
2.81009, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
2.5523, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
2.20938, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
2.99083, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
3.57519, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
4.38034, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
2.83452, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
2.87444, 2080-2099, hadgem2_ao, May Anomaly, NPL
3.40436, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
1.85892, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
2.87806, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
2.73524, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
3.14262, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
3.27225, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
4.24744, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
4.73505, 2080-2099, hadgem2_es, Jan Anomaly, NPL
4.35145, 2080-2099, hadgem2_es, Feb Anomaly, NPL
3.45067, 2080-2099, hadgem2_es, Mar Anomaly, NPL
3.75688, 2080-2099, hadgem2_es, Apr Anomaly, NPL
3.35117, 2080-2099, hadgem2_es, May Anomaly, NPL
4.30394, 2080-2099, hadgem2_es, Jun Anomaly, NPL
3.69283, 2080-2099, hadgem2_es, Jul Anomaly, NPL
2.85887, 2080-2099, hadgem2_es, Aug Anomaly, NPL
3.82821, 2080-2099, hadgem2_es, Sep Anomaly, NPL
3.86556, 2080-2099, hadgem2_es, Oct Anomaly, NPL
4.31119, 2080-2099, hadgem2_es, Nov Anomaly, NPL
3.56188, 2080-2099, hadgem2_es, Dec Anomaly, NPL
3.19094, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
3.43507, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
3.95955, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
4.73108, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
3.64306, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
3.21988, 2080-2099, ipsl_cm5a_lr, Jun Anomaly, NPL
3.24005, 2080-2099, ipsl_cm5a_lr, Jul Anomaly, NPL
2.86039, 2080-2099, ipsl_cm5a_lr, Aug Anomaly, NPL
3.27746, 2080-2099, ipsl_cm5a_lr, Sep Anomaly, NPL
2.87164, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
5.15638, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
