Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
16.6792, 2020-2039, access1_0, Annual Anomaly, NPL
53.3936, 2020-2039, access1_3, Annual Anomaly, NPL
95.4051, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
54.0911, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
45.3909, 2020-2039, bnu_esm, Annual Anomaly, NPL
64.8076, 2020-2039, canesm2, Annual Anomaly, NPL
149.436, 2020-2039, ccsm4, Annual Anomaly, NPL
135.72, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
152.417, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
2.21938, 2020-2039, cmcc_cesm, Annual Anomaly, NPL
81.5143, 2020-2039, cmcc_cm, Annual Anomaly, NPL
17.3534, 2020-2039, cmcc_cms, Annual Anomaly, NPL
-35.896, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
5.65394, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
54.8611, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
33.3671, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
7.89767, 2020-2039, hadgem2_es, Annual Anomaly, NPL
15.9154, 2020-2039, inmcm4, Annual Anomaly, NPL
24.4727, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
37.7776, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-18.326, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
17.0763, 2020-2039, miroc5, Annual Anomaly, NPL
26.8753, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
27.869, 2020-2039, miroc_esm, Annual Anomaly, NPL
39.2744, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
16.6822, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
67.3259, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
9.82335, 2020-2039, mri_esm1, Annual Anomaly, NPL
155.03, 2020-2039, noresm1_m, Annual Anomaly, NPL
-138.68, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
36.1264, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
735.979, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
