Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
46.3574, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
88.6466, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
23.0567, 2080-2099, bnu_esm, Annual Anomaly, NPL
139.328, 2080-2099, canesm2, Annual Anomaly, NPL
147.87, 2080-2099, ccsm4, Annual Anomaly, NPL
271.372, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-77.407, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
11.5957, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
69.6385, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
41.8358, 2080-2099, hadgem2_es, Annual Anomaly, NPL
-0.6498, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
39.0474, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
14.8186, 2080-2099, miroc5, Annual Anomaly, NPL
52.4981, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
16.865, 2080-2099, miroc_esm, Annual Anomaly, NPL
-9.5547, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
-11.087, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
60.7514, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
85.1728, 2080-2099, noresm1_m, Annual Anomaly, NPL
-131.65, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
47.9027, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
698.232, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
