Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
66.6659, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
44.6446, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
277.592, 2020-2039, ccsm4, Annual Anomaly, NPL
82.5269, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
6.17347, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
73.3866, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
14.5093, 2020-2039, hadgem2_es, Annual Anomaly, NPL
13.9871, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
48.7224, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
165.253, 2020-2039, miroc5, Annual Anomaly, NPL
26.5016, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
5.36361, 2020-2039, miroc_esm, Annual Anomaly, NPL
55.992, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
53.9513, 2020-2039, noresm1_m, Annual Anomaly, NPL
-124.58, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
33.2348, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
871.36, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
