Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
160.925, 2080-2099, access1_0, Annual Anomaly, NPL
266.379, 2080-2099, access1_3, Annual Anomaly, NPL
99.2457, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
129.387, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
130.875, 2080-2099, bnu_esm, Annual Anomaly, NPL
274.133, 2080-2099, canesm2, Annual Anomaly, NPL
380.685, 2080-2099, ccsm4, Annual Anomaly, NPL
246.592, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
550.359, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
-3.2672, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
427.996, 2080-2099, cmcc_cm, Annual Anomaly, NPL
95.512, 2080-2099, cmcc_cms, Annual Anomaly, NPL
49.2062, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
34.4568, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
207.293, 2080-2099, hadgem2_ao, Annual Anomaly, NPL
119.191, 2080-2099, hadgem2_cc, Annual Anomaly, NPL
137.258, 2080-2099, hadgem2_es, Annual Anomaly, NPL
26.5155, 2080-2099, inmcm4, Annual Anomaly, NPL
143.771, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
293.68, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
41.0399, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
235.024, 2080-2099, miroc5, Annual Anomaly, NPL
90.5379, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
41.2001, 2080-2099, miroc_esm, Annual Anomaly, NPL
76.5691, 2080-2099, mpi_esm_lr, Annual Anomaly, NPL
75.3959, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
79.944, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
114.764, 2080-2099, mri_esm1, Annual Anomaly, NPL
356.24, 2080-2099, noresm1_m, Annual Anomaly, NPL
-106.98, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
139.841, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
949.587, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
