Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
8.48133, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
64.2501, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
36.5444, 2040-2059, bnu_esm, Annual Anomaly, NPL
143.702, 2040-2059, canesm2, Annual Anomaly, NPL
299.643, 2040-2059, ccsm4, Annual Anomaly, NPL
136.574, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-30.283, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
13.4896, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
63.6107, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-2.5048, 2040-2059, hadgem2_es, Annual Anomaly, NPL
15.3605, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
80.9212, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
24.7133, 2040-2059, miroc5, Annual Anomaly, NPL
28.6969, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
17.9845, 2040-2059, miroc_esm, Annual Anomaly, NPL
18.4133, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-63.542, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
44.0477, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
118.178, 2040-2059, noresm1_m, Annual Anomaly, NPL
-140.68, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
45.5078, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
760.812, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
