Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
45.965, 2020-2039, access1_0, Annual Anomaly, NPL
43.2173, 2020-2039, access1_3, Annual Anomaly, NPL
22.7159, 2020-2039, bcc_csm1_1_m, Annual Anomaly, NPL
49.8958, 2020-2039, bcc_csm1_1, Annual Anomaly, NPL
32.4206, 2020-2039, bnu_esm, Annual Anomaly, NPL
44.8503, 2020-2039, canesm2, Annual Anomaly, NPL
171.418, 2020-2039, ccsm4, Annual Anomaly, NPL
66.6455, 2020-2039, cesm1_bgc, Annual Anomaly, NPL
28.5437, 2020-2039, cesm1_cam5, Annual Anomaly, NPL
-39.55, 2020-2039, cnrm_cm5, Annual Anomaly, NPL
-0.8675, 2020-2039, csiro_mk3_6_0, Annual Anomaly, NPL
11.394, 2020-2039, hadgem2_ao, Annual Anomaly, NPL
17.5813, 2020-2039, hadgem2_cc, Annual Anomaly, NPL
14.3365, 2020-2039, inmcm4, Annual Anomaly, NPL
-2.8457, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, NPL
43.4695, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, NPL
-20.078, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, NPL
101.046, 2020-2039, miroc5, Annual Anomaly, NPL
17.8942, 2020-2039, miroc_esm_chem, Annual Anomaly, NPL
13.9607, 2020-2039, miroc_esm, Annual Anomaly, NPL
98.1645, 2020-2039, mpi_esm_lr, Annual Anomaly, NPL
68.2934, 2020-2039, mpi_esm_mr, Annual Anomaly, NPL
78.081, 2020-2039, mri_cgcm3, Annual Anomaly, NPL
148.216, 2020-2039, noresm1_m, Annual Anomaly, NPL
-148.2, 2020-2039, Ensemble (10th Percentile), Annual Anomaly, NPL
14.4768, 2020-2039, Ensemble (50th Percentile), Annual Anomaly, NPL
728.64, 2020-2039, Ensemble (90th Percentile), Annual Anomaly, NPL
