Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
1.0228, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
-3.9925, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-2.7124, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-3.3882, 2060-2079, cesm1_bgc, May Anomaly, NPL
-25.504, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
15.2959, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
21.7142, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
4.09737, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
5.04923, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
1.61852, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-9.254, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-7.6994, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
4.70513, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.49813, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.9369, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-3.8447, 2060-2079, cesm1_cam5, May Anomaly, NPL
0.45075, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
27.6486, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
40.6738, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
27.8886, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
10.8134, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
6.29221, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-6.6285, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
2.2037, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
0.94812, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
-1.6245, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
-1.0151, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
-1.4204, 2060-2079, cmcc_cesm, May Anomaly, NPL
-3.1785, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
0.43833, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
0.31186, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
