Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-9.6348, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.162, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-2.9746, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
0.3206, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
0.90669, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
7.50193, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-3.3716, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-0.2325, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-3.5574, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
3.70097, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-2.8935, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-3.2783, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-2.1056, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
3.50154, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
2.35831, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-2.3156, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.86387, 2040-2059, bcc_csm1_1, May Anomaly, NPL
7.03134, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
8.95363, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
8.75383, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
7.01656, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-2.3083, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.91892, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.172, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.3645, 2040-2059, bnu_esm, Jan Anomaly, NPL
-2.6482, 2040-2059, bnu_esm, Feb Anomaly, NPL
-1.7924, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.7284, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.65904, 2040-2059, bnu_esm, May Anomaly, NPL
-1.5289, 2040-2059, bnu_esm, Jun Anomaly, NPL
4.70038, 2040-2059, bnu_esm, Jul Anomaly, NPL
4.43586, 2040-2059, bnu_esm, Aug Anomaly, NPL
6.2275, 2040-2059, bnu_esm, Sep Anomaly, NPL
-3.4063, 2040-2059, bnu_esm, Oct Anomaly, NPL
-2.7591, 2040-2059, bnu_esm, Nov Anomaly, NPL
1.06667, 2040-2059, bnu_esm, Dec Anomaly, NPL
-0.2652, 2040-2059, canesm2, Jan Anomaly, NPL
0.51515, 2040-2059, canesm2, Feb Anomaly, NPL
0.72489, 2040-2059, canesm2, Mar Anomaly, NPL
2.03438, 2040-2059, canesm2, Apr Anomaly, NPL
0.04094, 2040-2059, canesm2, May Anomaly, NPL
1.16811, 2040-2059, canesm2, Jun Anomaly, NPL
22.8861, 2040-2059, canesm2, Jul Anomaly, NPL
10.7219, 2040-2059, canesm2, Aug Anomaly, NPL
8.84101, 2040-2059, canesm2, Sep Anomaly, NPL
2.7132, 2040-2059, canesm2, Oct Anomaly, NPL
-4.6062, 2040-2059, canesm2, Nov Anomaly, NPL
-0.2301, 2040-2059, canesm2, Dec Anomaly, NPL
7.20307, 2040-2059, ccsm4, Jan Anomaly, NPL
-7.9203, 2040-2059, ccsm4, Feb Anomaly, NPL
-6.5057, 2040-2059, ccsm4, Mar Anomaly, NPL
0.62472, 2040-2059, ccsm4, Apr Anomaly, NPL
9.31185, 2040-2059, ccsm4, May Anomaly, NPL
-0.2557, 2040-2059, ccsm4, Jun Anomaly, NPL
4.10352, 2040-2059, ccsm4, Jul Anomaly, NPL
15.0439, 2040-2059, ccsm4, Aug Anomaly, NPL
9.56448, 2040-2059, ccsm4, Sep Anomaly, NPL
4.27152, 2040-2059, ccsm4, Oct Anomaly, NPL
-6.7446, 2040-2059, ccsm4, Nov Anomaly, NPL
-21.24, 2040-2059, ccsm4, Dec Anomaly, NPL
-4.5616, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
4.58933, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
0.94151, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.83982, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
-0.6277, 2040-2059, cesm1_cam5, May Anomaly, NPL
11.8786, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
15.9967, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
8.6506, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
10.5252, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
13.701, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
7.53193, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.89708, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
-0.0363, 2040-2059, cnrm_cm5, Jan Anomaly, NPL
-2.7712, 2040-2059, cnrm_cm5, Feb Anomaly, NPL
-6.9149, 2040-2059, cnrm_cm5, Mar Anomaly, NPL
1.48292, 2040-2059, cnrm_cm5, Apr Anomaly, NPL
1.25578, 2040-2059, cnrm_cm5, May Anomaly, NPL
5.54708, 2040-2059, cnrm_cm5, Jun Anomaly, NPL
-1.8793, 2040-2059, cnrm_cm5, Jul Anomaly, NPL
