Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
4.06894, 2020-2039, access1_0, Jan Anomaly, NPL
1.53385, 2020-2039, access1_0, Feb Anomaly, NPL
2.15152, 2020-2039, access1_0, Mar Anomaly, NPL
0.09606, 2020-2039, access1_0, Apr Anomaly, NPL
4.41061, 2020-2039, access1_0, May Anomaly, NPL
0.11123, 2020-2039, access1_0, Jun Anomaly, NPL
5.02788, 2020-2039, access1_0, Jul Anomaly, NPL
1.4774, 2020-2039, access1_0, Aug Anomaly, NPL
-0.3175, 2020-2039, access1_0, Sep Anomaly, NPL
-0.6462, 2020-2039, access1_0, Oct Anomaly, NPL
-2.6468, 2020-2039, access1_0, Nov Anomaly, NPL
0.87309, 2020-2039, access1_0, Dec Anomaly, NPL
-1.7386, 2020-2039, access1_3, Jan Anomaly, NPL
-2.2568, 2020-2039, access1_3, Feb Anomaly, NPL
-2.0682, 2020-2039, access1_3, Mar Anomaly, NPL
0.40337, 2020-2039, access1_3, Apr Anomaly, NPL
1.13654, 2020-2039, access1_3, May Anomaly, NPL
4.05654, 2020-2039, access1_3, Jun Anomaly, NPL
6.68827, 2020-2039, access1_3, Jul Anomaly, NPL
4.72529, 2020-2039, access1_3, Aug Anomaly, NPL
3.20074, 2020-2039, access1_3, Sep Anomaly, NPL
-0.4332, 2020-2039, access1_3, Oct Anomaly, NPL
2.74641, 2020-2039, access1_3, Nov Anomaly, NPL
-3.79, 2020-2039, access1_3, Dec Anomaly, NPL
-3.694, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-3.8264, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-1.3717, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-3.0585, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
-6.0901, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
11.4473, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.87124, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
4.90433, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
1.38181, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
3.29351, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-4.8079, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-3.8373, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
5.34956, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
1.71564, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
1.97303, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-3.5896, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-0.7073, 2020-2039, bcc_csm1_1, May Anomaly, NPL
10.6959, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
5.89616, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
4.22422, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
3.82703, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-6.2715, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
4.69499, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
-0.9151, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
-3.8314, 2020-2039, bnu_esm, Jan Anomaly, NPL
-0.5201, 2020-2039, bnu_esm, Feb Anomaly, NPL
-0.3892, 2020-2039, bnu_esm, Mar Anomaly, NPL
-3.1757, 2020-2039, bnu_esm, Apr Anomaly, NPL
2.16805, 2020-2039, bnu_esm, May Anomaly, NPL
-5.2053, 2020-2039, bnu_esm, Jun Anomaly, NPL
6.06427, 2020-2039, bnu_esm, Jul Anomaly, NPL
3.45638, 2020-2039, bnu_esm, Aug Anomaly, NPL
4.60914, 2020-2039, bnu_esm, Sep Anomaly, NPL
0.00417, 2020-2039, bnu_esm, Oct Anomaly, NPL
-1.8844, 2020-2039, bnu_esm, Nov Anomaly, NPL
-0.7532, 2020-2039, bnu_esm, Dec Anomaly, NPL
-4.4441, 2020-2039, canesm2, Jan Anomaly, NPL
-6.1931, 2020-2039, canesm2, Feb Anomaly, NPL
3.22985, 2020-2039, canesm2, Mar Anomaly, NPL
4.44652, 2020-2039, canesm2, Apr Anomaly, NPL
-0.1167, 2020-2039, canesm2, May Anomaly, NPL
-0.558, 2020-2039, canesm2, Jun Anomaly, NPL
14.3556, 2020-2039, canesm2, Jul Anomaly, NPL
7.66909, 2020-2039, canesm2, Aug Anomaly, NPL
10.9605, 2020-2039, canesm2, Sep Anomaly, NPL
7.82163, 2020-2039, canesm2, Oct Anomaly, NPL
-3.4664, 2020-2039, canesm2, Nov Anomaly, NPL
0.61451, 2020-2039, canesm2, Dec Anomaly, NPL
2.56951, 2020-2039, ccsm4, Jan Anomaly, NPL
-7.0688, 2020-2039, ccsm4, Feb Anomaly, NPL
-8.1342, 2020-2039, ccsm4, Mar Anomaly, NPL
1.96419, 2020-2039, ccsm4, Apr Anomaly, NPL
5.89182, 2020-2039, ccsm4, May Anomaly, NPL
7.15071, 2020-2039, ccsm4, Jun Anomaly, NPL
-4.0053, 2020-2039, ccsm4, Jul Anomaly, NPL
12.0841, 2020-2039, ccsm4, Aug Anomaly, NPL
13.4809, 2020-2039, ccsm4, Sep Anomaly, NPL
-2.2222, 2020-2039, ccsm4, Oct Anomaly, NPL
1.55059, 2020-2039, ccsm4, Nov Anomaly, NPL
-17.042, 2020-2039, ccsm4, Dec Anomaly, NPL
6.38786, 2020-2039, cesm1_bgc, Jan Anomaly, NPL
1.0657, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
-1.842, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
-1.9908, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
-5.3717, 2020-2039, cesm1_bgc, May Anomaly, NPL
-17.574, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
15.0078, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
16.831, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
4.75555, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
-1.0643, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
3.16208, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
-15.2, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
-8.3828, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
6.40548, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
-0.5699, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.79377, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
4.30147, 2020-2039, cesm1_cam5, May Anomaly, NPL
8.58424, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
3.05679, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
14.2332, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
11.8165, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
8.80942, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
7.32747, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-1.0686, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-1.8777, 2020-2039, cmcc_cesm, Jan Anomaly, NPL
0.78336, 2020-2039, cmcc_cesm, Feb Anomaly, NPL
0.61193, 2020-2039, cmcc_cesm, Mar Anomaly, NPL
-1.8672, 2020-2039, cmcc_cesm, Apr Anomaly, NPL
0.06569, 2020-2039, cmcc_cesm, May Anomaly, NPL
-2.3424, 2020-2039, cmcc_cesm, Jun Anomaly, NPL
1.45652, 2020-2039, cmcc_cesm, Jul Anomaly, NPL
0.46833, 2020-2039, cmcc_cesm, Aug Anomaly, NPL
1.38987, 2020-2039, cmcc_cesm, Sep Anomaly, NPL
-0.2632, 2020-2039, cmcc_cesm, Oct Anomaly, NPL
0.37831, 2020-2039, cmcc_cesm, Nov Anomaly, NPL
-0.8542, 2020-2039, cmcc_cesm, Dec Anomaly, NPL
-6.635, 2020-2039, cmcc_cm, Jan Anomaly, NPL
2.24783, 2020-2039, cmcc_cm, Feb Anomaly, NPL
-2.5389, 2020-2039, cmcc_cm, Mar Anomaly, NPL
-4.8149, 2020-2039, cmcc_cm, Apr Anomaly, NPL
-4.1032, 2020-2039, cmcc_cm, May Anomaly, NPL
0.30859, 2020-2039, cmcc_cm, Jun Anomaly, NPL
1.92686, 2020-2039, cmcc_cm, Jul Anomaly, NPL
1.15487, 2020-2039, cmcc_cm, Aug Anomaly, NPL
16.0864, 2020-2039, cmcc_cm, Sep Anomaly, NPL
0.44931, 2020-2039, cmcc_cm, Oct Anomaly, NPL
9.21816, 2020-2039, cmcc_cm, Nov Anomaly, NPL
-13.46, 2020-2039, cmcc_cm, Dec Anomaly, NPL
-2.0414, 2020-2039, cmcc_cms, Jan Anomaly, NPL
-11.95, 2020-2039, cmcc_cms, Feb Anomaly, NPL
-15.262, 2020-2039, cmcc_cms, Mar Anomaly, NPL
2.8254, 2020-2039, cmcc_cms, Apr Anomaly, NPL
-4.5439, 2020-2039, cmcc_cms, May Anomaly, NPL
-5.2855, 2020-2039, cmcc_cms, Jun Anomaly, NPL
-1.7622, 2020-2039, cmcc_cms, Jul Anomaly, NPL
4.68924, 2020-2039, cmcc_cms, Aug Anomaly, NPL
-5.3222, 2020-2039, cmcc_cms, Sep Anomaly, NPL
-6.5262, 2020-2039, cmcc_cms, Oct Anomaly, NPL
-4.5328, 2020-2039, cmcc_cms, Nov Anomaly, NPL
-6.8791, 2020-2039, cmcc_cms, Dec Anomaly, NPL
-6.5926, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
-0.8329, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
-3.7087, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
0.10528, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
1.28973, 2020-2039, cnrm_cm5, May Anomaly, NPL
1.83353, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-1.8676, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
6.42063, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-3.6345, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-2.7424, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
-2.1866, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-1.4799, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
1.7174, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-3.4254, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
3.48097, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
0.63797, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.6606, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-0.4528, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.21472, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-0.2544, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
6.82711, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-1.4184, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.75743, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
3.42551, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
10.9097, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
5.47285, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
2.27218, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-1.5407, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-0.6681, 2020-2039, gfdl_cm3, May Anomaly, NPL
0.80179, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
0.98363, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
0.70656, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-12.234, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
14.837, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-1.0793, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-7.9921, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-1.2981, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
1.36115, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.25437, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
1.32365, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
2.32518, 2020-2039, gfdl_esm2g, May Anomaly, NPL
4.80086, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
1.49073, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
13.6212, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-7.9131, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
-13.768, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
5.23747, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
-0.358, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
-1.7666, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
-7.1603, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
-0.4621, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
-1.4432, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
1.98024, 2020-2039, gfdl_esm2m, May Anomaly, NPL
6.96324, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
-0.3546, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
6.00917, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
6.27482, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
6.48108, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-4.9107, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
4.64973, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
3.80788, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
-4.2517, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
4.53434, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
2.49526, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
2.82147, 2020-2039, hadgem2_ao, May Anomaly, NPL
8.96604, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
7.38983, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
3.46474, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
1.8289, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
-0.7665, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
-2.775, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
-1.1131, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
-0.4544, 2020-2039, hadgem2_cc, Jan Anomaly, NPL
-1.7811, 2020-2039, hadgem2_cc, Feb Anomaly, NPL
-0.8147, 2020-2039, hadgem2_cc, Mar Anomaly, NPL
-1.3389, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
-0.22, 2020-2039, hadgem2_cc, May Anomaly, NPL
-1.641, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
7.07087, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
2.53714, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
1.98049, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
-0.0438, 2020-2039, hadgem2_cc, Oct Anomaly, NPL
