Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-6.5017, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-5.5519, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-9.9753, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-5.0321, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-1.1649, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-2.2348, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.43789, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
6.40649, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.24371, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.51737, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
0.65152, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-7.7353, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
4.99177, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
3.19855, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
2.52629, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.06458, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.2821, 2060-2079, bcc_csm1_1, May Anomaly, NPL
3.90223, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
2.49545, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
9.1904, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
6.80418, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-6.4839, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
1.92235, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
1.27091, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-5.7852, 2060-2079, bnu_esm, Jan Anomaly, NPL
-3.5278, 2060-2079, bnu_esm, Feb Anomaly, NPL
-2.1414, 2060-2079, bnu_esm, Mar Anomaly, NPL
-1.7919, 2060-2079, bnu_esm, Apr Anomaly, NPL
0.70399, 2060-2079, bnu_esm, May Anomaly, NPL
-0.1942, 2060-2079, bnu_esm, Jun Anomaly, NPL
4.67294, 2060-2079, bnu_esm, Jul Anomaly, NPL
3.18296, 2060-2079, bnu_esm, Aug Anomaly, NPL
8.39362, 2060-2079, bnu_esm, Sep Anomaly, NPL
3.01204, 2060-2079, bnu_esm, Oct Anomaly, NPL
