Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-7.3955, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.84841, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-3.7366, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-5.9601, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.6545, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
13.1539, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
8.71517, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
4.8475, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
6.31187, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
6.01014, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-4.1894, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-6.1351, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
3.20858, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.67888, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.14947, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.10699, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
0.09697, 2060-2079, bcc_csm1_1, May Anomaly, NPL
5.78103, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
9.64987, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
13.5899, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
10.2264, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-3.2358, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
4.37004, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
1.78107, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
6.6974, 2060-2079, ccsm4, Jan Anomaly, NPL
-6.1419, 2060-2079, ccsm4, Feb Anomaly, NPL
-6.8611, 2060-2079, ccsm4, Mar Anomaly, NPL
1.01675, 2060-2079, ccsm4, Apr Anomaly, NPL
-2.6893, 2060-2079, ccsm4, May Anomaly, NPL
0.52979, 2060-2079, ccsm4, Jun Anomaly, NPL
17.5776, 2060-2079, ccsm4, Jul Anomaly, NPL
24.3981, 2060-2079, ccsm4, Aug Anomaly, NPL
19.6947, 2060-2079, ccsm4, Sep Anomaly, NPL
8.50396, 2060-2079, ccsm4, Oct Anomaly, NPL
-9.2992, 2060-2079, ccsm4, Nov Anomaly, NPL
-16.552, 2060-2079, ccsm4, Dec Anomaly, NPL
-14.779, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-1.2757, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-3.5078, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.96714, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-2.0635, 2060-2079, cesm1_cam5, May Anomaly, NPL
4.56535, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
18.9633, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
35.3424, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
14.2697, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
6.15031, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
4.1025, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.09193, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-2.1287, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-6.3182, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-1.9298, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.3546, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
0.12166, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-0.2444, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-1.3904, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
0.96339, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
4.77893, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
0.85873, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
3.51892, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-1.4215, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
6.25552, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
0.60552, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.32955, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
1.98368, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.4969, 2060-2079, gfdl_cm3, May Anomaly, NPL
3.48142, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
8.84565, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
7.54088, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-7.1768, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
2.67537, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.9578, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-4.9658, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-2.0112, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-1.9714, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
0.8375, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
-0.5224, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
0.56096, 2060-2079, gfdl_esm2g, May Anomaly, NPL
11.3922, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
6.46845, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
25.8563, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-5.1115, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
3.43963, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
5.23823, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.00768, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-2.2477, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-5.8448, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
1.49098, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-2.5565, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
0.06723, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-3.4619, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
5.57288, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
4.43164, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
0.83685, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
1.5013, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
1.37042, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
1.15372, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
3.33002, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-3.9274, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
0.38178, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
0.84184, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
1.82431, 2060-2079, hadgem2_ao, May Anomaly, NPL
9.84542, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
7.72938, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
6.96588, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
4.21386, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
-0.289, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-3.406, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-1.1657, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-0.631, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-1.6988, 2060-2079, hadgem2_es, Feb Anomaly, NPL
-0.334, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-0.1879, 2060-2079, hadgem2_es, Apr Anomaly, NPL
0.45813, 2060-2079, hadgem2_es, May Anomaly, NPL
2.90319, 2060-2079, hadgem2_es, Jun Anomaly, NPL
4.15801, 2060-2079, hadgem2_es, Jul Anomaly, NPL
2.07438, 2060-2079, hadgem2_es, Aug Anomaly, NPL
1.06519, 2060-2079, hadgem2_es, Sep Anomaly, NPL
1.18692, 2060-2079, hadgem2_es, Oct Anomaly, NPL
-0.4305, 2060-2079, hadgem2_es, Nov Anomaly, NPL
1.04966, 2060-2079, hadgem2_es, Dec Anomaly, NPL
-9.1855, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-6.2102, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-2.3621, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
2.24845, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.7129, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
1.53185, 2060-2079, ipsl_cm5a_lr, Jun Anomaly, NPL
2.31562, 2060-2079, ipsl_cm5a_lr, Jul Anomaly, NPL
3.20171, 2060-2079, ipsl_cm5a_lr, Aug Anomaly, NPL
4.51699, 2060-2079, ipsl_cm5a_lr, Sep Anomaly, NPL
-8.8082, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.8375, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
-2.6338, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
2.31061, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
1.57158, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
-3.5035, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
0.72995, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
3.84257, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
8.59727, 2060-2079, ipsl_cm5a_mr, Jun Anomaly, NPL
3.20719, 2060-2079, ipsl_cm5a_mr, Jul Anomaly, NPL
13.7509, 2060-2079, ipsl_cm5a_mr, Aug Anomaly, NPL
5.63631, 2060-2079, ipsl_cm5a_mr, Sep Anomaly, NPL
