Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
60.55492, 2020-2039, gfdl_cm3, May Average, Nepal, NPL
126.02249, 2020-2039, gfdl_cm3, Jun Average, Nepal, NPL
255.4152, 2020-2039, gfdl_cm3, Jul Average, Nepal, NPL
223.66803, 2020-2039, gfdl_cm3, Aug Average, Nepal, NPL
193.38898, 2020-2039, gfdl_cm3, Sep Average, Nepal, NPL
125.79031, 2020-2039, gfdl_cm3, Oct Average, Nepal, NPL
31.691072, 2020-2039, gfdl_cm3, Nov Average, Nepal, NPL
33.140804, 2020-2039, gfdl_cm3, Dec Average, Nepal, NPL
24.197199, 2020-2039, gfdl_esm2m, Jan Average, Nepal, NPL
9.273609, 2020-2039, gfdl_esm2m, Feb Average, Nepal, NPL
9.566707, 2020-2039, gfdl_esm2m, Mar Average, Nepal, NPL
20.769798, 2020-2039, gfdl_esm2m, Apr Average, Nepal, NPL
42.746838, 2020-2039, gfdl_esm2m, May Average, Nepal, NPL
268.5004, 2020-2039, gfdl_esm2m, Jun Average, Nepal, NPL
422.04865, 2020-2039, gfdl_esm2m, Jul Average, Nepal, NPL
447.32733, 2020-2039, gfdl_esm2m, Aug Average, Nepal, NPL
295.02365, 2020-2039, gfdl_esm2m, Sep Average, Nepal, NPL
133.73108, 2020-2039, gfdl_esm2m, Oct Average, Nepal, NPL
44.408073, 2020-2039, gfdl_esm2m, Nov Average, Nepal, NPL
26.111217, 2020-2039, gfdl_esm2m, Dec Average, Nepal, NPL
10.079954, 2020-2039, giss_e2_h, Jan Average, Nepal, NPL
6.1164765, 2020-2039, giss_e2_h, Feb Average, Nepal, NPL
8.411171, 2020-2039, giss_e2_h, Mar Average, Nepal, NPL
11.387636, 2020-2039, giss_e2_h, Apr Average, Nepal, NPL
18.061035, 2020-2039, giss_e2_h, May Average, Nepal, NPL
25.008299, 2020-2039, giss_e2_h, Jun Average, Nepal, NPL
