Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
9.555718, 2040-2059, fio_esm, Oct Anomaly, Nepal, NPL
10.724343, 2040-2059, fio_esm, Nov Anomaly, Nepal, NPL
4.3490562, 2040-2059, fio_esm, Dec Anomaly, Nepal, NPL
17.628653, 2040-2059, gfdl_cm3, Jan Anomaly, Nepal, NPL
-0.3652824, 2040-2059, gfdl_cm3, Feb Anomaly, Nepal, NPL
-4.045105, 2040-2059, gfdl_cm3, Mar Anomaly, Nepal, NPL
1.1726443, 2040-2059, gfdl_cm3, Apr Anomaly, Nepal, NPL
-14.331934, 2040-2059, gfdl_cm3, May Anomaly, Nepal, NPL
-9.274461, 2040-2059, gfdl_cm3, Jun Anomaly, Nepal, NPL
-2.264854, 2040-2059, gfdl_cm3, Jul Anomaly, Nepal, NPL
8.497568, 2040-2059, gfdl_cm3, Aug Anomaly, Nepal, NPL
-26.345226, 2040-2059, gfdl_cm3, Sep Anomaly, Nepal, NPL
-12.927818, 2040-2059, gfdl_cm3, Oct Anomaly, Nepal, NPL
-11.072492, 2040-2059, gfdl_cm3, Nov Anomaly, Nepal, NPL
-17.693262, 2040-2059, gfdl_cm3, Dec Anomaly, Nepal, NPL
-1.114912, 2040-2059, gfdl_esm2m, Jan Anomaly, Nepal, NPL
-11.774811, 2040-2059, gfdl_esm2m, Feb Anomaly, Nepal, NPL
-4.102063, 2040-2059, gfdl_esm2m, Mar Anomaly, Nepal, NPL
-6.1110544, 2040-2059, gfdl_esm2m, Apr Anomaly, Nepal, NPL
-8.973709, 2040-2059, gfdl_esm2m, May Anomaly, Nepal, NPL
15.240254, 2040-2059, gfdl_esm2m, Jun Anomaly, Nepal, NPL
-32.695774, 2040-2059, gfdl_esm2m, Jul Anomaly, Nepal, NPL
12.222972, 2040-2059, gfdl_esm2m, Aug Anomaly, Nepal, NPL
39.85599, 2040-2059, gfdl_esm2m, Sep Anomaly, Nepal, NPL
-8.366965, 2040-2059, gfdl_esm2m, Oct Anomaly, Nepal, NPL
10.910132, 2040-2059, gfdl_esm2m, Nov Anomaly, Nepal, NPL
-2.0266263, 2040-2059, gfdl_esm2m, Dec Anomaly, Nepal, NPL
6.132649, 2040-2059, giss_e2_h, Jan Anomaly, Nepal, NPL
0.3726629, 2040-2059, giss_e2_h, Feb Anomaly, Nepal, NPL
2.4151678, 2040-2059, giss_e2_h, Mar Anomaly, Nepal, NPL
0.93992406, 2040-2059, giss_e2_h, Apr Anomaly, Nepal, NPL
1.9235587, 2040-2059, giss_e2_h, May Anomaly, Nepal, NPL
0.92572886, 2040-2059, giss_e2_h, Jun Anomaly, Nepal, NPL
-0.5353707, 2040-2059, giss_e2_h, Jul Anomaly, Nepal, NPL
3.6954472, 2040-2059, giss_e2_h, Aug Anomaly, Nepal, NPL
2.9433181, 2040-2059, giss_e2_h, Sep Anomaly, Nepal, NPL
5.963026, 2040-2059, giss_e2_h, Oct Anomaly, Nepal, NPL
2.299439, 2040-2059, giss_e2_h, Nov Anomaly, Nepal, NPL
2.0097013, 2040-2059, giss_e2_h, Dec Anomaly, Nepal, NPL
-0.99500006, 2040-2059, giss_e2_r, Jan Anomaly, Nepal, NPL
-1.7289469, 2040-2059, giss_e2_r, Feb Anomaly, Nepal, NPL
2.3279083, 2040-2059, giss_e2_r, Mar Anomaly, Nepal, NPL
1.829547, 2040-2059, giss_e2_r, Apr Anomaly, Nepal, NPL
10.04597, 2040-2059, giss_e2_r, May Anomaly, Nepal, NPL
0.0062428713, 2040-2059, giss_e2_r, Jun Anomaly, Nepal, NPL
11.088897, 2040-2059, giss_e2_r, Jul Anomaly, Nepal, NPL
9.496905, 2040-2059, giss_e2_r, Aug Anomaly, Nepal, NPL
6.3745136, 2040-2059, giss_e2_r, Sep Anomaly, Nepal, NPL
1.0044098, 2040-2059, giss_e2_r, Oct Anomaly, Nepal, NPL
1.3155476, 2040-2059, giss_e2_r, Nov Anomaly, Nepal, NPL
0.41518518, 2040-2059, giss_e2_r, Dec Anomaly, Nepal, NPL
-17.871548, 2040-2059, ipsl_cm5a_mr, Jan Anomaly, Nepal, NPL
-7.642082, 2040-2059, ipsl_cm5a_mr, Feb Anomaly, Nepal, NPL
1.3020664, 2040-2059, ipsl_cm5a_mr, Mar Anomaly, Nepal, NPL
-0.22049509, 2040-2059, ipsl_cm5a_mr, Apr Anomaly, Nepal, NPL
8.317512, 2040-2059, ipsl_cm5a_mr, May Anomaly, Nepal, NPL
11.53733, 2040-2059, ipsl_cm5a_mr, Jun Anomaly, Nepal, NPL
1.99026, 2040-2059, ipsl_cm5a_mr, Jul Anomaly, Nepal, NPL
33.998405, 2040-2059, ipsl_cm5a_mr, Aug Anomaly, Nepal, NPL
1.3037554, 2040-2059, ipsl_cm5a_mr, Sep Anomaly, Nepal, NPL
11.519737, 2040-2059, ipsl_cm5a_mr, Oct Anomaly, Nepal, NPL
25.863525, 2040-2059, ipsl_cm5a_mr, Nov Anomaly, Nepal, NPL
-7.1608224, 2040-2059, ipsl_cm5a_mr, Dec Anomaly, Nepal, NPL
13.456493, 2040-2059, miroc_esm, Jan Anomaly, Nepal, NPL
-8.086357, 2040-2059, miroc_esm, Feb Anomaly, Nepal, NPL
-3.188936, 2040-2059, miroc_esm, Mar Anomaly, Nepal, NPL
25.584345, 2040-2059, miroc_esm, Apr Anomaly, Nepal, NPL
-30.373383, 2040-2059, miroc_esm, May Anomaly, Nepal, NPL
1.1294283, 2040-2059, miroc_esm, Jun Anomaly, Nepal, NPL
24.126348, 2040-2059, miroc_esm, Jul Anomaly, Nepal, NPL
-32.13594, 2040-2059, miroc_esm, Aug Anomaly, Nepal, NPL
19.355745, 2040-2059, miroc_esm, Sep Anomaly, Nepal, NPL
-4.1440387, 2040-2059, miroc_esm, Oct Anomaly, Nepal, NPL
-3.4200075, 2040-2059, miroc_esm, Nov Anomaly, Nepal, NPL
29.088726, 2040-2059, miroc_esm, Dec Anomaly, Nepal, NPL
-6.241454, 2040-2059, miroc_esm_chem, Jan Anomaly, Nepal, NPL
8.944382, 2040-2059, miroc_esm_chem, Feb Anomaly, Nepal, NPL
-7.426864, 2040-2059, miroc_esm_chem, Mar Anomaly, Nepal, NPL
-19.084974, 2040-2059, miroc_esm_chem, Apr Anomaly, Nepal, NPL
34.8421, 2040-2059, miroc_esm_chem, May Anomaly, Nepal, NPL
1.8308443, 2040-2059, miroc_esm_chem, Jun Anomaly, Nepal, NPL
66.405014, 2040-2059, miroc_esm_chem, Jul Anomaly, Nepal, NPL
-7.4161615, 2040-2059, miroc_esm_chem, Aug Anomaly, Nepal, NPL
-8.894617, 2040-2059, miroc_esm_chem, Sep Anomaly, Nepal, NPL
-6.110413, 2040-2059, miroc_esm_chem, Oct Anomaly, Nepal, NPL
-5.7768555, 2040-2059, miroc_esm_chem, Nov Anomaly, Nepal, NPL
19.687466, 2040-2059, miroc_esm_chem, Dec Anomaly, Nepal, NPL
-8.629179, 2040-2059, miroc5, Jan Anomaly, Nepal, NPL
13.062987, 2040-2059, miroc5, Feb Anomaly, Nepal, NPL
11.561278, 2040-2059, miroc5, Mar Anomaly, Nepal, NPL
1.0164163, 2040-2059, miroc5, Apr Anomaly, Nepal, NPL
-15.989, 2040-2059, miroc5, May Anomaly, Nepal, NPL
40.36588, 2040-2059, miroc5, Jun Anomaly, Nepal, NPL
57.12844, 2040-2059, miroc5, Jul Anomaly, Nepal, NPL
16.566563, 2040-2059, miroc5, Aug Anomaly, Nepal, NPL
33.64605, 2040-2059, miroc5, Sep Anomaly, Nepal, NPL
17.374731, 2040-2059, miroc5, Oct Anomaly, Nepal, NPL
7.340225, 2040-2059, miroc5, Nov Anomaly, Nepal, NPL
0.3341322, 2040-2059, miroc5, Dec Anomaly, Nepal, NPL
8.659457, 2040-2059, mri_cgcm3, Jan Anomaly, Nepal, NPL
-0.48484892, 2040-2059, mri_cgcm3, Feb Anomaly, Nepal, NPL
3.6951683, 2040-2059, mri_cgcm3, Mar Anomaly, Nepal, NPL
11.228456, 2040-2059, mri_cgcm3, Apr Anomaly, Nepal, NPL
5.3602386, 2040-2059, mri_cgcm3, May Anomaly, Nepal, NPL
-1.9984739, 2040-2059, mri_cgcm3, Jun Anomaly, Nepal, NPL
14.072876, 2040-2059, mri_cgcm3, Jul Anomaly, Nepal, NPL
7.331998, 2040-2059, mri_cgcm3, Aug Anomaly, Nepal, NPL
2.6475105, 2040-2059, mri_cgcm3, Sep Anomaly, Nepal, NPL
7.3695383, 2040-2059, mri_cgcm3, Oct Anomaly, Nepal, NPL
-7.492851, 2040-2059, mri_cgcm3, Nov Anomaly, Nepal, NPL
-20.311283, 2040-2059, mri_cgcm3, Dec Anomaly, Nepal, NPL
-0.54610986, 2040-2059, noresm1_m, Jan Anomaly, Nepal, NPL
1.2018749, 2040-2059, noresm1_m, Feb Anomaly, Nepal, NPL
-5.19885, 2040-2059, noresm1_m, Mar Anomaly, Nepal, NPL
-9.773419, 2040-2059, noresm1_m, Apr Anomaly, Nepal, NPL
8.756818, 2040-2059, noresm1_m, May Anomaly, Nepal, NPL
103.50741, 2040-2059, noresm1_m, Jun Anomaly, Nepal, NPL
56.851124, 2040-2059, noresm1_m, Jul Anomaly, Nepal, NPL
25.677256, 2040-2059, noresm1_m, Aug Anomaly, Nepal, NPL
-36.268147, 2040-2059, noresm1_m, Sep Anomaly, Nepal, NPL
4.379475, 2040-2059, noresm1_m, Oct Anomaly, Nepal, NPL
-13.814239, 2040-2059, noresm1_m, Nov Anomaly, Nepal, NPL
-22.222002, 2040-2059, noresm1_m, Dec Anomaly, Nepal, NPL
-17.067244, 2040-2059, Ensemble (10th Percentile), Jan Anomaly, Nepal, NPL
-12.040239, 2040-2059, Ensemble (10th Percentile), Feb Anomaly, Nepal, NPL
-19.436869, 2040-2059, Ensemble (10th Percentile), Mar Anomaly, Nepal, NPL
-16.163456, 2040-2059, Ensemble (10th Percentile), Apr Anomaly, Nepal, NPL
-26.575314, 2040-2059, Ensemble (10th Percentile), May Anomaly, Nepal, NPL
-62.55027, 2040-2059, Ensemble (10th Percentile), Jun Anomaly, Nepal, NPL
-60.16211, 2040-2059, Ensemble (10th Percentile), Jul Anomaly, Nepal, NPL
-28.455687, 2040-2059, Ensemble (10th Percentile), Aug Anomaly, Nepal, NPL
-36.00407, 2040-2059, Ensemble (10th Percentile), Sep Anomaly, Nepal, NPL
-18.748556, 2040-2059, Ensemble (10th Percentile), Oct Anomaly, Nepal, NPL
-13.842066, 2040-2059, Ensemble (10th Percentile), Nov Anomaly, Nepal, NPL
-30.5832, 2040-2059, Ensemble (10th Percentile), Dec Anomaly, Nepal, NPL
0.20347562, 2040-2059, Ensemble (50th Percentile), Jan Anomaly, Nepal, NPL
-0.47838616, 2040-2059, Ensemble (50th Percentile), Feb Anomaly, Nepal, NPL
-0.29180983, 2040-2059, Ensemble (50th Percentile), Mar Anomaly, Nepal, NPL
-0.06384169, 2040-2059, Ensemble (50th Percentile), Apr Anomaly, Nepal, NPL
4.3781605, 2040-2059, Ensemble (50th Percentile), May Anomaly, Nepal, NPL
-0.24310899, 2040-2059, Ensemble (50th Percentile), Jun Anomaly, Nepal, NPL
7.0498486, 2040-2059, Ensemble (50th Percentile), Jul Anomaly, Nepal, NPL
12.349642, 2040-2059, Ensemble (50th Percentile), Aug Anomaly, Nepal, NPL
7.276676, 2040-2059, Ensemble (50th Percentile), Sep Anomaly, Nepal, NPL
4.5860634, 2040-2059, Ensemble (50th Percentile), Oct Anomaly, Nepal, NPL
2.680942, 2040-2059, Ensemble (50th Percentile), Nov Anomaly, Nepal, NPL
-0.53073883, 2040-2059, Ensemble (50th Percentile), Dec Anomaly, Nepal, NPL
15.883864, 2040-2059, Ensemble (90th Percentile), Jan Anomaly, Nepal, NPL
15.960061, 2040-2059, Ensemble (90th Percentile), Feb Anomaly, Nepal, NPL
11.313008, 2040-2059, Ensemble (90th Percentile), Mar Anomaly, Nepal, NPL
16.420118, 2040-2059, Ensemble (90th Percentile), Apr Anomaly, Nepal, NPL
28.071758, 2040-2059, Ensemble (90th Percentile), May Anomaly, Nepal, NPL
59.37211, 2040-2059, Ensemble (90th Percentile), Jun Anomaly, Nepal, NPL
88.35607, 2040-2059, Ensemble (90th Percentile), Jul Anomaly, Nepal, NPL
62.600372, 2040-2059, Ensemble (90th Percentile), Aug Anomaly, Nepal, NPL
60.6401, 2040-2059, Ensemble (90th Percentile), Sep Anomaly, Nepal, NPL
38.237003, 2040-2059, Ensemble (90th Percentile), Oct Anomaly, Nepal, NPL
36.00901, 2040-2059, Ensemble (90th Percentile), Nov Anomaly, Nepal, NPL
24.734701, 2040-2059, Ensemble (90th Percentile), Dec Anomaly, Nepal, NPL
