Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
3.5331004, 2080-2099, bcc_csm1_1, Jan Anomaly, Nepal, NPL
0.43807492, 2080-2099, bcc_csm1_1, Feb Anomaly, Nepal, NPL
-2.358038, 2080-2099, bcc_csm1_1, Mar Anomaly, Nepal, NPL
-1.3683139, 2080-2099, bcc_csm1_1, Apr Anomaly, Nepal, NPL
9.447262, 2080-2099, bcc_csm1_1, May Anomaly, Nepal, NPL
4.0843716, 2080-2099, bcc_csm1_1, Jun Anomaly, Nepal, NPL
54.407425, 2080-2099, bcc_csm1_1, Jul Anomaly, Nepal, NPL
39.836105, 2080-2099, bcc_csm1_1, Aug Anomaly, Nepal, NPL
14.000894, 2080-2099, bcc_csm1_1, Sep Anomaly, Nepal, NPL
1.9414728, 2080-2099, bcc_csm1_1, Oct Anomaly, Nepal, NPL
8.55141, 2080-2099, bcc_csm1_1, Nov Anomaly, Nepal, NPL
18.139858, 2080-2099, bcc_csm1_1, Dec Anomaly, Nepal, NPL
19.682468, 2080-2099, bcc_csm1_1_m, Jan Anomaly, Nepal, NPL
-7.3796973, 2080-2099, bcc_csm1_1_m, Feb Anomaly, Nepal, NPL
-0.99025166, 2080-2099, bcc_csm1_1_m, Mar Anomaly, Nepal, NPL
-7.4772706, 2080-2099, bcc_csm1_1_m, Apr Anomaly, Nepal, NPL
11.046883, 2080-2099, bcc_csm1_1_m, May Anomaly, Nepal, NPL
-4.883662, 2080-2099, bcc_csm1_1_m, Jun Anomaly, Nepal, NPL
3.482521, 2080-2099, bcc_csm1_1_m, Jul Anomaly, Nepal, NPL
-20.525389, 2080-2099, bcc_csm1_1_m, Aug Anomaly, Nepal, NPL
19.625765, 2080-2099, bcc_csm1_1_m, Sep Anomaly, Nepal, NPL
33.2289, 2080-2099, bcc_csm1_1_m, Oct Anomaly, Nepal, NPL
-15.265784, 2080-2099, bcc_csm1_1_m, Nov Anomaly, Nepal, NPL
-30.099375, 2080-2099, bcc_csm1_1_m, Dec Anomaly, Nepal, NPL
19.356413, 2080-2099, ccsm4, Jan Anomaly, Nepal, NPL
-8.353754, 2080-2099, ccsm4, Feb Anomaly, Nepal, NPL
-8.037068, 2080-2099, ccsm4, Mar Anomaly, Nepal, NPL
-2.8470254, 2080-2099, ccsm4, Apr Anomaly, Nepal, NPL
13.89026, 2080-2099, ccsm4, May Anomaly, Nepal, NPL
50.603287, 2080-2099, ccsm4, Jun Anomaly, Nepal, NPL
